"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.077958339×10^-3,5.813909912×10^-1,9.864337006×10^0,8.542735291×10^-1
1.102795835×10^-2,5.601351929×10^-1,9.800868988×10^0,8.243357849×10^-1
2.097795834×10^-2,5.375321960×10^-1,9.767338715×10^0,7.866142273×10^-1
3.092795835×10^-2,6.005511475×10^-1,9.757459259×10^0,8.056246948×10^-1
4.087895835×10^-2,6.191125488×10^-1,9.770182800×10^0,8.440946960×10^-1
5.082895834×10^-2,5.387297058×10^-1,9.776020660×10^0,9.139993286×10^-1
6.077895834×10^-2,4.718188477×10^-1,9.779762878×10^0,9.801617432×10^-1
7.072895834×10^-2,4.525090027×10^-1,9.757608948×10^0,9.842033386×10^-1
8.067895834×10^-2,3.740721130×10^-1,9.749076691×10^0,9.418414307×10^-1
9.062895834×10^-2,3.198847961×10^-1,9.774374084×10^0,9.292675781×10^-1
1.005789583×10^-1,2.627037048×10^-1,9.783355408×10^0,9.403445435×10^-1
1.105299583×10^-1,2.148033142×10^-1,9.773326263×10^0,9.651928711×10^-1
1.204799583×10^-1,1.971400452×10^-1,9.776619415×10^0,9.589059448×10^-1
1.304299583×10^-1,2.028282166×10^-1,9.816286926×10^0,9.586065674×10^-1
1.403799583×10^-1,2.486329651×10^-1,9.798923035×10^0,9.616003418×10^-1
1.503299583×10^-1,3.351530457×10^-1,9.763446808×10^0,9.571096802×10^-1
1.602799583×10^-1,4.156855774×10^-1,9.750723267×10^0,9.394464111×10^-1
1.702299583×10^-1,4.643344116×10^-1,9.760752411×10^0,8.999285889×10^-1
1.801809583×10^-1,4.818479919×10^-1,9.789043579×10^0,8.937913513×10^-1
1.901309583×10^-1,4.287084961×10^-1,9.772128754×10^0,8.933422852×10^-1
2.000809583×10^-1,3.589535522×10^-1,9.717342682×10^0,9.207353210×10^-1
2.100309583×10^-1,3.317102051×10^-1,9.697434082×10^0,9.232800293×10^-1
2.199809583×10^-1,3.336561584×10^-1,9.704020386×10^0,9.157955933×10^-1
2.299309583×10^-1,3.237767029×10^-1,9.728120270×10^0,9.066645813×10^-1
2.398809583×10^-1,3.397933960×10^-1,9.753417664×10^0,8.981323242×10^-1
2.498319583×10^-1,3.649411011×10^-1,9.755962372×10^0,8.708889771×10^-1
2.597819583×10^-1,3.930825806×10^-1,9.773176575×10^0,8.819659424×10^-1
2.697319583×10^-1,4.257147217×10^-1,9.802066498×10^0,8.849597168×10^-1
