"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.066665810×10^-5,-2.568979561×10^-2,2.123390138×10^-2,-1.157379523×10^-2
1.001066667×10^-2,-1.332260761×10^-2,2.762761898×10^-2,-1.074182242×10^-2
1.996066666×10^-2,-1.831023255×10^-3,3.312586248×10^-2,-2.473075688×10^-2
2.991066666×10^-2,-2.439555712×10^-3,4.029642045×10^-2,-5.048725381×10^-2
3.986166666×10^-2,-2.075678296×10^-2,5.423426628×10^-2,-7.714360207×10^-2
4.981166666×10^-2,-6.836690754×10^-2,1.424160600×10^-1,-1.414405704×10^-1
5.976166666×10^-2,-1.544562876×10^-1,2.522043586×10^-1,-1.967409998×10^-1
6.971166667×10^-2,-2.490887940×10^-1,3.496736586×10^-1,-2.503203452×10^-1
7.966166666×10^-2,-3.330182433×10^-1,4.231292009×10^-1,-2.926181555×10^-1
8.961166667×10^-2,-3.944408596×10^-1,4.454382360×10^-1,-3.169282973×10^-1
9.956166666×10^-2,-4.287646115×10^-1,4.275416434×10^-1,-3.252273798×10^-1
1.095126667×10^-1,-4.253786802×10^-1,3.940630555×10^-1,-3.226712942×10^-1
1.194626667×10^-1,-3.939763904×10^-1,3.656741083×10^-1,-2.979266942×10^-1
1.294129583×10^-1,-3.161638975×10^-1,3.263570666×10^-1,-2.355762422×10^-1
1.393629583×10^-1,-1.844397336×10^-1,2.387104332×10^-1,-1.437438875×10^-1
1.493129583×10^-1,-1.375587657×10^-2,1.081138104×10^-1,-5.109491944×10^-2
1.592629583×10^-1,1.591636240×10^-1,-4.065609723×10^-2,3.964318894×10^-3
1.692139583×10^-1,2.695026398×10^-1,-1.447944790×10^-1,2.602008544×10^-2
1.791639583×10^-1,2.856667936×10^-1,-1.733689010×10^-1,1.746041887×10^-2
1.891139583×10^-1,2.518914938×10^-1,-1.142853424×10^-1,-2.700718120×10^-2
1.990639583×10^-1,1.342987418×10^-1,4.450309649×10^-2,-5.421904474×10^-2
2.090139583×10^-1,-6.987017579×10^-3,1.724429578×10^-1,-9.794202447×10^-2
2.189639583×10^-1,-1.334854811×10^-1,3.142108619×10^-1,-1.492100060×10^-1
2.289149583×10^-1,-2.202392817×10^-1,3.999121785×10^-1,-2.015959769×10^-1
2.388649583×10^-1,-2.657720447×10^-1,4.149158597×10^-1,-2.493454516×10^-1
2.488149583×10^-1,-2.767091095×10^-1,3.896129131×10^-1,-2.810272276×10^-1
2.587649583×10^-1,-2.752620578×10^-1,3.692299128×10^-1,-2.793509364×10^-1
2.687149583×10^-1,-2.571914494×10^-1,3.394959867×10^-1,-2.460806221×10^-1
2.786649583×10^-1,-2.166759223×10^-1,2.756305635×10^-1,-2.032888234×10^-1
2.886159583×10^-1,-1.556330770×10^-1,1.869971156×10^-1,-1.571357101×10^-1
2.985659583×10^-1,-7.801539451×10^-2,9.499732405×10^-2,-1.079597473×10^-1
3.085159583×10^-1,-9.043251164×10^-3,4.440818727×10^-2,-7.344092429×10^-2
3.184659583×10^-1,3.592878580×10^-2,6.313826889×10^-2,-6.601163000×10^-2
3.284159583×10^-1,3.709525242×10^-2,1.032313555×10^-1,-7.559927553×10^-2
3.383659583×10^-1,2.869403921×10^-3,1.467621624×10^-1,-9.955023229×10^-2
3.483169583×10^-1,-5.447058752×10^-2,1.843396425×10^-1,-1.249032617×10^-1
3.582669583×10^-1,-1.161687449×10^-1,2.090968490×10^-1,-1.406779736×10^-1
3.682169583×10^-1,-1.713936478×10^-1,2.106188536×10^-1,-1.560430825×10^-1
3.781669583×10^-1,-2.004905939×10^-1,1.950120628×10^-1,-1.616904289×10^-1
3.881169583×10^-1,-1.980673820×10^-1,1.669220924×10^-1,-1.452462077×10^-1
3.980669583×10^-1,-1.539795846×10^-1,1.132674217×10^-1,-1.170807779×10^-1
4.080179583×10^-1,-1.022333056×10^-1,4.961041734×10^-2,-7.458391786×10^-2
4.179679583×10^-1,-5.073106289×10^-2,2.441528253×10^-3,-3.182231262×10^-2
4.279179583×10^-1,-1.434988715×10^-2,5.030387081×10^-3,-8.258930407×10^-3
4.378679583×10^-1,1.103784423×10^-2,1.482374035×10^-2,1.102627255×10^-3
