"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.660208328×10^-3,-1.815648936×10^-2,-6.250736862×10^-2,5.747583508×10^-2
1.761020834×10^-2,-2.975908294×10^-2,-1.015048325×10^-1,7.228407264×10^-2
2.756020833×10^-2,-4.426060989×10^-2,-1.302980036×10^-1,7.950845361×10^-2
3.750920834×10^-2,-5.170334503×10^-2,-1.459715068×10^-1,7.978089154×10^-2
4.745920833×10^-2,-5.240887776×10^-2,-1.371223480×10^-1,7.505147904×10^-2
5.740820833×10^-2,-4.630438238×10^-2,-1.276888996×10^-1,6.860343367×10^-2
6.735820834×10^-2,-3.308345005×10^-2,-1.035831198×10^-1,5.365144461×10^-2
7.730820833×10^-2,-1.614414901×10^-2,-7.543484122×10^-2,3.534913808×10^-2
8.725720833×10^-2,4.964660387×10^-3,-4.830203578×10^-2,1.902413368×10^-2
9.720720834×10^-2,2.161873691×10^-2,-2.051940747×10^-2,1.302962471×10^-2
1.071562083×10^-1,2.736404352×10^-2,9.115540888×10^-5,1.947361603×10^-2
1.171062083×10^-1,3.204667941×10^-2,1.125059836×10^-2,3.079045191×10^-2
1.270562083×10^-1,3.459269181×10^-2,1.434619725×10^-2,4.905371368×10^-2
1.370052083×10^-1,3.086639941×10^-2,8.550094441×10^-3,6.356234848×10^-2
1.469552083×10^-1,2.068169601×10^-2,1.717511006×10^-2,8.748612553×10^-2
1.569052083×10^-1,2.236401476×10^-2,3.750008717×10^-2,1.008021981×10^-1
1.668542083×10^-1,3.868274391×10^-2,6.590505689×10^-2,1.033802330×10^-1
1.768042083×10^-1,5.575174093×10^-2,9.685738385×10^-2,9.363146126×10^-2
1.867522500×10^-1,7.064555585×10^-2,1.206941456×10^-1,7.882320136×10^-2
1.967022500×10^-1,8.104439825×10^-2,1.347724050×10^-1,6.577557325×10^-2
2.066522500×10^-1,8.518971503×10^-2,1.362405866×10^-1,5.990814790×10^-2
2.166012500×10^-1,9.027501941×10^-2,1.432210058×10^-1,5.706708506×10^-2
2.265512500×10^-1,9.100773931×10^-2,1.506092995×10^-1,6.431779265×10^-2
2.365002500×10^-1,9.082930535×10^-2,1.421156675×10^-1,8.274605870×10^-2
2.464502500×10^-1,8.200241625×10^-2,1.350684315×10^-1,9.765598923×10^-2
2.564002500×10^-1,6.728525460×10^-2,1.263830662×10^-1,1.127883345×10^-1
2.663492500×10^-1,5.126939714×10^-2,1.233698353×10^-1,1.233745143×10^-1
2.762992500×10^-1,3.650429845×10^-2,1.211887002×10^-1,1.341773570×10^-1
2.862482500×10^-1,2.550209686×10^-2,1.138999313×10^-1,1.497926265×10^-1
2.961982500×10^-1,2.083464153×10^-2,9.605915099×10^-2,1.663849205×10^-1
3.061482500×10^-1,8.838476613×10^-3,5.976531655×10^-2,1.827754676×10^-1
3.160972500×10^-1,-1.904854737×10^-2,3.083299659×10^-2,1.875752956×10^-1
3.260472500×10^-1,-4.799462855×10^-2,2.296691015×10^-2,1.861355752×10^-1
3.359972500×10^-1,-6.345161051×10^-2,2.242309228×10^-2,1.845043898×10^-1
3.459462500×10^-1,-6.433462352×10^-2,3.011130169×10^-2,1.792933941×10^-1
3.558962500×10^-1,-5.848019943×10^-2,5.146612599×10^-2,1.650334895×10^-1
3.658452500×10^-1,-4.988678917×10^-2,6.169864163×10^-2,1.550607681×10^-1
3.757952500×10^-1,-4.629817978×10^-2,6.482972205×10^-2,1.472902000×10^-1
3.857452500×10^-1,-3.970931470×10^-2,6.882394105×10^-2,1.367114186×10^-1
3.956942500×10^-1,-3.371587023×10^-2,7.554895431×10^-2,1.292750686×10^-1
4.056442500×10^-1,-2.384863980×10^-2,8.343730122×10^-2,1.207283214×10^-1
4.155932500×10^-1,-1.404128410×10^-2,9.227367491×10^-2,1.119617224×10^-1
4.255432500×10^-1,-9.069734253×10^-3,9.395035356×10^-2,1.093897745×10^-1
4.354932500×10^-1,-7.367440965×10^-3,7.828989625×10^-2,1.084486097×10^-1
4.454422500×10^-1,-1.088975649×10^-2,5.970156938×10^-2,1.072621346×10^-1
4.553922500×10^-1,-1.925687678×10^-2,2.920012176×10^-2,9.869448096×10^-2
4.653422500×10^-1,-2.961842343×10^-2,3.828237532×10^-3,8.613584936×10^-2
4.752912500×10^-1,-3.485500067×10^-2,-1.927601732×10^-2,7.965025306×10^-2
4.852412500×10^-1,-3.380274400×10^-2,-4.752694443×10^-2,7.452376932×10^-2
4.951902500×10^-1,-2.780690603×10^-2,-6.745564193×10^-2,7.504947484×10^-2
5.051402500×10^-1,-2.249235660×10^-2,-6.880697608×10^-2,7.690047473×10^-2
5.150902500×10^-1,-1.406025700×10^-2,-6.514113396×10^-2,8.144515753×10^-2
5.250392500×10^-1,-8.847954683×10^-3,-7.077972591×10^-2,8.727258444×10^-2
5.349892500×10^-1,-8.738231845×10^-3,-7.217069715×10^-2,8.995172381×10^-2
5.449382500×10^-1,-1.410933211×10^-2,-7.316687703×10^-2,8.836862445×10^-2
5.548882500×10^-1,-1.672801748×10^-2,-8.116941154×10^-2,8.348040283×10^-2
5.648382500×10^-1,-1.989485137×10^-2,-8.509180695×10^-2,7.519535720×10^-2
5.747872500×10^-1,-1.644525863×10^-2,-8.582817018×10^-2,6.521409750×10^-2
5.847372500×10^-1,-9.778326377×10^-3,-7.873680443×10^-2,5.609164014×10^-2
5.946872500×10^-1,-4.054394085×10^-3,-6.132452190×10^-2,4.544432089×10^-2
6.046362500×10^-1,-2.095881384×10^-3,-4.185777903×10^-2,4.056441411×10^-2
6.145862500×10^-1,2.511625644×10^-4,-2.609080076×10^-2,3.132883832×10^-2
6.245352500×10^-1,-9.452658123×10^-4,-1.243216544×10^-2,1.914952137×10^-2
6.344852500×10^-1,-3.794049146×10^-3,-1.042201184×10^-2,6.243309937×10^-3
6.444352500×10^-1,-2.884338144×10^-3,-3.029177664×10^-3,1.978186890×10^-3
6.543842500×10^-1,-3.573564114×10^-3,-8.115016855×10^-3,9.831849486×10^-3
6.643342500×10^-1,-9.210991673×10^-3,-9.718975984×10^-3,2.092989907×10^-2
6.742832500×10^-1,-2.067643404×10^-2,-1.645277813×10^-2,3.060862608×10^-2
6.842332500×10^-1,-3.490010649×10^-2,-1.811384782×10^-2,3.745055571×10^-2
6.941832500×10^-1,-5.167535692×10^-2,-8.006351069×10^-3,4.460087791×10^-2
7.041322500×10^-1,-6.485435367×10^-2,7.207716815×10^-3,5.286578462×10^-2
7.140822500×10^-1,-6.887039542×10^-2,2.361412160×10^-2,5.471002311×10^-2
7.240312500×10^-1,-6.730359048×10^-2,4.237432033×10^-2,4.549329728×10^-2
7.339812500×10^-1,-5.740967765×10^-2,5.237875134×10^-2,2.858009748×10^-2
7.439312500×10^-1,-4.271585867×10^-2,5.849590525×10^-2,1.810190454×10^-2
7.538802500×10^-1,-3.152898327×10^-2,6.916932017×10^-2,1.115771197×10^-2
7.638302500×10^-1,-2.587784827×10^-2,7.805263996×10^-2,1.319102384×10^-2
7.737802500×10^-1,-2.442216314×10^-2,7.620280236×10^-2,2.105347440×10^-2
7.837292500×10^-1,-2.509048209×10^-2,6.526564807×10^-2,2.782977000×10^-2
7.936792500×10^-1,-3.233534470×10^-2,4.278058186×10^-2,3.453347832×10^-2
8.036282500×10^-1,-4.407098517×10^-2,1.784841903×10^-2,4.032699764×10^-2
