"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.266041673×10^-3,-9.047186279×10^-1,5.394182739×10^0,8.556057587×10^0
7.683958334×10^-3,-1.044527893×10^0,5.419629822×10^0,8.588839417×10^0
1.763395833×10^-2,-1.018332367×10^0,5.377716980×10^0,8.419541473×10^0
2.758395833×10^-2,-8.898994446×10^-1,5.278772736×10^0,8.259374542×10^0
3.753295833×10^-2,-7.574249268×10^-1,5.176984406×10^0,8.240513763×10^0
4.748295833×10^-2,-6.647676086×10^-1,5.137316895×10^0,8.260122986×10^0
5.743295833×10^-2,-7.015910339×10^-1,5.147795105×10^0,8.385262756×10^0
6.738295832×10^-2,-7.852670288×10^-1,5.179828491×10^0,8.400830383×10^0
7.733195832×10^-2,-8.174501038×10^-1,5.165308685×10^0,8.290958862×10^0
8.728195833×10^-2,-7.939489746×10^-1,5.154531097×10^0,8.220156097×10^0
9.723195832×10^-2,-7.156617737×10^-1,5.176984406×10^0,8.220605164×10^0
1.071819583×10^-1,-6.746470642×10^-1,5.201383667×10^0,8.253386993×10^0
1.171309583×10^-1,-6.450086975×10^-1,5.191653900×10^0,8.299341431×10^0
1.270809583×10^-1,-6.503974915×10^-1,5.168452148×10^0,8.235424347×10^0
1.370309583×10^-1,-7.270381165×10^-1,5.179229736×10^0,8.129893799×10^0
1.469809583×10^-1,-7.206015015×10^-1,5.219795380×10^0,8.097860413×10^0
1.569305833×10^-1,-6.292913818×10^-1,5.163811798×10^0,8.014034729×10^0
1.668805833×10^-1,-5.541476440×10^-1,5.062023468×10^0,7.950117645×10^0
1.768305833×10^-1,-4.833448792×10^-1,5.041665802×10^0,8.014034729×10^0
1.867805833×10^-1,-4.189787292×10^-1,5.048102417×10^0,8.148305511×10^0
1.967295833×10^-1,-3.869453430×10^-1,5.018314362×10^0,8.267757111×10^0
2.066795833×10^-1,-3.267704773×10^-1,4.984484711×10^0,8.368796997×10^0
2.166295833×10^-1,-3.002755737×10^-1,4.938380585×10^0,8.419691162×10^0
2.265795833×10^-1,-3.335064697×10^-1,4.935087433×10^0,8.409362640×10^0
2.365285833×10^-1,-5.459147644×10^-1,4.906796265×10^0,8.322094116×10^0
2.464785833×10^-1,-5.986051941×10^-1,5.108576660×10^0,8.246351624×10^0
2.564285833×10^-1,-6.291416931×10^-1,5.321434021×10^0,8.250692596×10^0
2.663785833×10^-1,-6.623725891×10^-1,5.319039001×10^0,8.170908508×10^0
2.763275833×10^-1,-7.824229431×10^-1,5.360951843×10^0,8.205935669×10^0
2.862775833×10^-1,-8.396040344×10^-1,5.447920990×10^0,8.223449249×10^0
2.962275833×10^-1,-9.092092896×10^-1,5.414989471×10^0,8.286468201×10^0
3.061775833×10^-1,-8.623567200×10^-1,5.379812622×10^0,8.284073181×10^0
3.161265833×10^-1,-8.008346558×10^-1,5.328619080×10^0,8.214018860×10^0
3.260765833×10^-1,-7.701484680×10^-1,5.274880829×10^0,8.131989441×10^0
3.360265833×10^-1,-7.581733704×10^-1,5.220992889×10^0,8.095914459×10^0
3.459755833×10^-1,-7.610174561×10^-1,5.198090515×10^0,8.122858429×10^0
3.559255833×10^-1,-7.554789734×10^-1,5.200036469×10^0,8.251740417×10^0
3.658755833×10^-1,-7.436535645×10^-1,5.234165497×10^0,8.389603729×10^0
3.758255833×10^-1,-7.518864441×10^-1,5.237458649×10^0,8.474926300×10^0
3.857745833×10^-1,-7.638615417×10^-1,5.276377716×10^0,8.472680969×10^0
3.957245833×10^-1,-7.039860535×10^-1,5.263205109×10^0,8.377179565×10^0
4.056745833×10^-1,-6.075865173×10^-1,5.230123901×10^0,8.288863220×10^0
4.156245833×10^-1,-5.222639465×10^-1,5.184917908×10^0,8.238268433×10^0
4.255735833×10^-1,-4.505630493×10^-1,5.165308685×10^0,8.232580261×10^0
4.355235833×10^-1,-4.275109863×10^-1,5.122348022×10^0,8.308622131×10^0
4.454735833×10^-1,-3.839515686×10^-1,5.087470551×10^0,8.366851044×10^0
4.554235833×10^-1,-3.300636292×10^-1,5.051694946×10^0,8.363258514×10^0
4.653725833×10^-1,-2.871029663×10^-1,5.035079498×10^0,8.358169098×10^0
4.753225833×10^-1,-2.504292297×10^-1,5.034031677×10^0,8.340505829×10^0
4.852725833×10^-1,-2.335144043×10^-1,5.028942261×10^0,8.335865479×10^0
4.952225833×10^-1,-1.767823792×10^-1,5.017865295×10^0,8.354277191×10^0
5.051715833×10^-1,-1.490899658×10^-1,4.971162415×10^0,8.438851318×10^0
5.151215833×10^-1,-1.224453735×10^-1,4.923112335×10^0,8.584348755×10^0
5.250715833×10^-1,-9.445358276×10^-2,4.852309570×10^0,8.672964478×10^0
5.350215833×10^-1,-4.999603271×10^-2,4.816683655×10^0,8.684939575×10^0
5.449705833×10^-1,1.945953369×10^-3,4.778513031×10^0,8.584049377×10^0
5.549205833×10^-1,1.631607056×10^-2,4.783003693×10^0,8.451874237×10^0
5.648705833×10^-1,-3.547622681×10^-2,4.829407196×10^0,8.338709564×10^0
5.748205833×10^-1,-9.684860229×10^-2,4.866230621×10^0,8.261619873×10^0
5.847695833×10^-1,-1.399589539×10^-1,4.921016693×10^0,8.191565552×10^0
5.947195833×10^-1,-1.405577087×10^-1,4.963079224×10^0,8.162076874×10^0
6.046695833×10^-1,-1.266366577×10^-1,4.970264282×10^0,8.181536407×10^0
6.146195833×10^-1,-1.155596924×10^-1,4.965623932×10^0,8.201445007×10^0
6.245685833×10^-1,-1.068777466×10^-1,4.989873505×10^0,8.252638550×10^0
6.345185833×10^-1,-1.648072815×10^-1,4.975653076×10^0,8.294102325×10^0
6.444685833×10^-1,-2.555186462×10^-1,4.955445099×10^0,8.371790771×10^0
6.544185833×10^-1,-3.158432007×10^-1,4.983436890×10^0,8.384813690×10^0
6.643675833×10^-1,-3.525169373×10^-1,5.004393311×10^0,8.356821899×10^0
6.743175833×10^-1,-3.570075989×10^-1,5.005740509×10^0,8.399034119×10^0
6.842675833×10^-1,-3.435356140×10^-1,4.964576111×10^0,8.460107117×10^0
6.942175833×10^-1,-3.213816833×10^-1,4.950355682×10^0,8.543334045×10^0
7.041665833×10^-1,-2.815644836×10^-1,4.934338989×10^0,8.617879028×10^0
7.141165833×10^-1,-2.323168945×10^-1,4.907694397×10^0,8.628357239×10^0
7.240665833×10^-1,-2.077679443×10^-1,4.873864746×10^0,8.599317627×10^0
7.340165833×10^-1,-2.082170105×10^-1,4.844825134×10^0,8.573571167×10^0
7.439655833×10^-1,-2.155517578×10^-1,4.830904083×10^0,8.587192841×10^0
7.539155833×10^-1,-2.327659607×10^-1,4.818180542×10^0,8.599617004×10^0
7.638655833×10^-1,-2.101629639×10^-1,4.775668945×10^0,8.657546539×10^0
7.738155833×10^-1,-1.501377869×10^-1,4.750970306×10^0,8.719218292×10^0
7.837645833×10^-1,-8.068222046×10^-2,4.740192719×10^0,8.767867126×10^0
7.937145833×10^-1,-8.532257080×10^-2,4.718338165×10^0,8.729397125×10^0
8.036645833×10^-1,-1.531315613×10^-1,4.693340149×10^0,8.571026459×10^0
8.136145833×10^-1,-1.922003174×10^-1,4.717589722×10^0,8.384364624×10^0
8.235635833×10^-1,-2.125579834×10^-1,4.746779022×10^0,8.238268433×10^0
8.335135833×10^-1,-2.737806702×10^-1,4.714146881×10^0,8.217012634×10^0
8.434635833×10^-1,-3.432362366×10^-1,4.714595947×10^0,8.307424622×10^0
8.534135833×10^-1,-3.832031250×10^-1,4.715344391×10^0,8.350085907×10^0
8.633625833×10^-1,-4.270619202×10^-1,4.698878632×10^0,8.318351898×10^0
8.733125833×10^-1,-3.993695068×10^-1,4.718487854×10^0,8.272098083×10^0
8.832625833×10^-1,-4.162843323×10^-1,4.732708282×10^0,8.176596680×10^0
8.932125833×10^-1,-4.436773682×10^-1,4.705464935×10^0,8.108188934×10^0
9.031615833×10^-1,-4.993615723×10^-1,4.695884857×10^0,8.105195160×10^0
9.131115833×10^-1,-5.734574890×10^-1,4.684807892×10^0,8.097710724×10^0
9.230615833×10^-1,-6.089337158×10^-1,4.697531433×10^0,8.182883606×10^0
9.330115833×10^-1,-5.893244934×10^-1,4.726571045×10^0,8.396489410×10^0
9.429605833×10^-1,-6.183641052×10^-1,4.721331940×10^0,8.504414978×10^0
9.529105833×10^-1,-6.749464417×10^-1,4.672832794×10^0,8.427474976×10^0
9.628605833×10^-1,-8.521778870×10^-1,4.721331940×10^0,8.316256256×10^0
9.728105833×10^-1,-1.006207581×10^0,4.977599030×10^0,8.072712708×10^0
9.827595833×10^-1,-1.039438477×10^0,5.137616272×10^0,7.906408539×10^0
9.927095833×10^-1,-1.353784790×10^0,5.106331329×10^0,7.902816010×10^0
1.002659583×10^0,-1.248703308×10^0,5.130131836×10^0,7.889344025×10^0
1.012608583×10^0,-1.145717468×10^0,5.076842651×10^0,8.036787415×10^0
1.022558583×10^0,-1.097667389×10^0,4.995411987×10^0,8.238867188×10^0
1.032508583×10^0,-1.153351593×10^0,5.014871521×10^0,8.465046844×10^0
1.042458583×10^0,-1.192270660×10^0,5.095254364×10^0,8.627459106×10^0
1.052408583×10^0,-1.225800934×10^0,5.081183624×10^0,8.787925415×10^0
1.062357583×10^0,-1.160237274×10^0,5.078788605×10^0,8.868607635×10^0
1.072307583×10^0,-1.122515717×10^0,5.134622498×10^0,8.867260437×10^0
1.082257583×10^0,-1.125808868×10^0,5.216053162×10^0,8.709039459×10^0
1.092206583×10^0,-1.245110779×10^0,5.155878296×10^0,8.221503296×10^0
1.102156583×10^0,-1.559606781×10^0,4.872816925×10^0,7.280410309×10^0
1.112106583×10^0,-1.414708099×10^0,4.923262024×10^0,7.613767090×10^0
1.122056583×10^0,-1.673669586×10^0,4.825215912×10^0,7.926915894×10^0
1.132005583×10^0,-2.007774811×10^0,4.885690155×10^0,8.268804932×10^0
1.141955583×10^0,-2.330354004×10^0,5.065017242×10^0,8.618028717×10^0
1.151905583×10^0,-2.623444519×10^0,5.315745850×10^0,8.588540039×10^0
1.161854708×10^0,-2.945874023×10^0,5.282514954×10^0,8.650211792×10^0
1.171803708×10^0,-3.385958862×10^0,4.848417664×10^0,8.721763000×10^0
1.181753708×10^0,-3.713777161×10^0,4.299359436×10^0,8.929081879×10^0
1.191703708×10^0,-3.411106567×10^0,3.863166504×10^0,9.191037140×10^0
1.201653708×10^0,-2.608176270×10^0,3.814667358×10^0,9.460476837×10^0
1.211602708×10^0,-1.808539124×10^0,4.162394257×10^0,9.682614899×10^0
1.221552708×10^0,-1.589394836×10^0,4.319567413×10^0,9.687854004×10^0
1.231502708×10^0,-2.025587769×10^0,4.077820129×10^0,9.589807892×10^0
1.241452708×10^0,-2.731070709×10^0,3.769910431×10^0,9.460177460×10^0
1.251401708×10^0,-3.354673920×10^0,3.619922333×10^0,9.371262360×10^0
1.261351708×10^0,-4.137096863×10^0,3.665278015×10^0,9.158255310×10^0
1.271301708×10^0,-4.711751862×10^0,3.872297516×10^0,9.078171844×10^0
1.281251708×10^0,-4.244273987×10^0,4.203408966×10^0,8.942553864×10^0
1.291200708×10^0,-3.695964203×10^0,4.123624878×10^0,8.494385834×10^0
1.301150708×10^0,-3.307521973×10^0,3.500620422×10^0,8.332572327×10^0
1.311100708×10^0,-2.860701141×10^0,2.884950714×10^0,8.637637939×10^0
1.321050708×10^0,-2.582280121×10^0,2.680326233×10^0,9.286837921×10^0
1.330999708×10^0,-2.431393890×10^0,2.667153625×10^0,9.843530273×10^0
1.340949708×10^0,-2.565514984×10^0,2.732118530×10^0,1.027149033×10^1
1.350899708×10^0,-2.633323975×10^0,3.434008942×10^0,1.024364822×10^1
1.360849708×10^0,-2.633773041×10^0,4.038751373×10^0,9.931547241×10^0
1.370798708×10^0,-2.779270477×10^0,4.077071686×10^0,9.442963257×10^0
1.380748708×10^0,-3.313509521×10^0,3.926185455×10^0,8.731343079×10^0
1.390698708×10^0,-3.620371399×10^0,3.851490784×10^0,7.941735077×10^0
1.400648708×10^0,-3.845054169×10^0,3.618874512×10^0,7.300468597×10^0
1.410597708×10^0,-3.464096375×10^0,3.789220276×10^0,6.912475433×10^0
1.420547708×10^0,-3.146007843×10^0,3.930077362×10^0,6.575077057×10^0
1.430497708×10^0,-3.320245514×10^0,3.538940735×10^0,5.991141357×10^0
1.440447708×10^0,-3.429218903×10^0,3.013383636×10^0,5.373675385×10^0
1.450396708×10^0,-3.567531281×10^0,2.800675964×10^0,4.824916534×10^0
1.460346708×10^0,-3.727698212×10^0,2.918480988×10^0,4.380640411×10^0
1.470296708×10^0,-3.570225677×10^0,3.210823059×10^0,4.317322083×10^0
1.480246708×10^0,-3.747307434×10^0,3.206182709×10^0,4.547693024×10^0
1.490195708×10^0,-4.147275696×10^0,3.085683289×10^0,5.190306702×10^0
1.500145708×10^0,-4.103865967×10^0,3.320544891×10^0,6.256240082×10^0
1.510095708×10^0,-3.371738434×10^0,2.931054840×10^0,7.113357697×10^0
1.520045708×10^0,-2.852767639×10^0,2.194586334×10^0,7.808811493×10^0
1.529994708×10^0,-2.410138092×10^0,1.827998657×10^0,8.336913300×10^0
1.539944708×10^0,-1.927841034×10^0,1.707948303×10^0,8.654403076×10^0
1.549894708×10^0,-2.075583801×10^0,1.847458191×10^0,8.929231567×10^0
1.559844708×10^0,-2.729723511×10^0,2.024090881×10^0,9.353898468×10^0
1.569793708×10^0,-3.543281708×10^0,1.810634766×10^0,1.005818390×10^1
1.579743708×10^0,-3.831432495×10^0,1.296004944×10^0,1.076202026×10^1
1.589693708×10^0,-3.067421265×10^0,1.031205597×10^0,1.099867813×10^1
1.599643708×10^0,-2.282154236×10^0,1.631607056×10^0,1.108474915×10^1
1.609592708×10^0,-2.067650299×10^0,2.489173737×10^0,1.116617981×10^1
1.619542708×10^0,-2.498753815×10^0,2.679877167×10^0,1.119536911×10^1
1.629492708×10^0,-3.114423523×10^0,2.315085754×10^0,1.132425110×10^1
1.639442708×10^0,-3.626209259×10^0,1.855691071×10^0,1.137230118×10^1
1.649391708×10^0,-3.640279999×10^0,1.707499237×10^0,1.090227859×10^1
1.659341708×10^0,-3.278482361×10^0,1.730700989×10^0,1.003468277×10^1
1.669291708×10^0,-2.808759155×10^0,1.860930176×10^0,9.171128540×10^0
1.679241708×10^0,-2.581681366×10^0,2.287543030×10^0,8.598269806×10^0
1.689190708×10^0,-2.788850555×10^0,2.433938599×10^0,8.587492218×10^0
