"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.774916677×10^-3,-1.144070892×10^0,4.268972626×10^0,8.939709778×10^0
7.175083330×10^-3,-1.234333191×10^0,4.217030640×10^0,8.850794678×10^0
1.712508332×10^-2,-1.204395447×10^0,4.192332001×10^0,8.813971252×10^0
2.707508333×10^-2,-1.079405365×10^0,4.174219666×10^0,8.812324677×10^0
3.702508332×10^-2,-1.010398865×10^0,4.174069977×10^0,8.795709229×10^0
4.697508333×10^-2,-9.843530273×10^-1,4.158053284×10^0,8.824748840×10^0
5.692408333×10^-2,-9.484277344×10^-1,4.125870209×10^0,8.849297791×10^0
6.687408332×10^-2,-9.086105347×10^-1,4.089795227×10^0,8.829838257×10^0
7.682408333×10^-2,-9.259744263×10^-1,4.054768066×10^0,8.828790436×10^0
8.677408333×10^-2,-9.797126770×10^-1,4.045936432×10^0,8.774303741×10^0
9.672408333×10^-2,-1.021475830×10^0,4.034111023×10^0,8.712631989×10^0
1.066740833×10^-1,-1.015188904×10^0,4.021088104×10^0,8.654403076×10^0
1.166240833×10^-1,-9.821076965×10^-1,4.018244019×10^0,8.648415527×10^0
1.265740833×10^-1,-9.919871521×10^-1,4.026027832×10^0,8.731642456×10^0
1.365240833×10^-1,-1.024319916×10^0,4.061953125×10^0,8.873547363×10^0
1.464730833×10^-1,-9.916877747×10^-1,4.085753632×10^0,8.975485382×10^0
1.564230833×10^-1,-9.852511597×10^-1,4.109105072×10^0,8.987460480×10^0
1.663730833×10^-1,-9.599537659×10^-1,4.125121765×10^0,9.068891144×10^0
1.763230833×10^-1,-9.386979675×10^-1,4.121379547×10^0,9.101822662×10^0
1.862730833×10^-1,-9.674382019×10^-1,4.122427368×10^0,9.064699860×10^0
1.962230833×10^-1,-9.732760620×10^-1,4.111500092×10^0,9.028026123×10^0
2.061730833×10^-1,-9.627978516×10^-1,4.090393982×10^0,8.935219116×10^0
2.161230833×10^-1,-9.906399536×10^-1,4.078269196×10^0,8.861871643×10^0
2.260730833×10^-1,-9.996212769×10^-1,4.084406433×10^0,8.822353821×10^0
2.360220833×10^-1,-9.663903809×10^-1,4.098626862×10^0,8.787626038×10^0
2.459720833×10^-1,-9.674382019×10^-1,4.093687134×10^0,8.775201874×10^0
2.559220833×10^-1,-9.613009644×10^-1,4.083208923×10^0,8.783434753×10^0
2.658720833×10^-1,-9.713301086×10^-1,4.069437561×10^0,8.761879578×10^0
2.758220833×10^-1,-9.888436890×10^-1,4.058659973×10^0,8.811576233×10^0
2.857720833×10^-1,-9.779164124×10^-1,4.087849274×10^0,8.896449738×10^0
2.957220833×10^-1,-9.710307312×10^-1,4.101920013×10^0,8.968599701×10^0
3.056720833×10^-1,-9.834548950×10^-1,4.119283905×10^0,9.010063477×10^0
3.156220833×10^-1,-9.333091736×10^-1,4.147275696×10^0,9.023834839×10^0
3.255720833×10^-1,-9.596543884×10^-1,4.153562622×10^0,8.981472931×10^0
3.355210833×10^-1,-1.023122406×10^0,4.115691376×10^0,8.899892578×10^0
3.454710833×10^-1,-1.040186920×10^0,4.097878418×10^0,8.842112732×10^0
3.554210833×10^-1,-1.008452911×10^0,4.073179779×10^0,8.825646973×10^0
3.653710833×10^-1,-9.422904968×10^-1,4.065246277×10^0,8.975784760×10^0
3.753210833×10^-1,-8.797206116×10^-1,4.107757874×10^0,8.986262970×10^0
3.852710833×10^-1,-8.565188599×10^-1,4.085154877×10^0,9.018146667×10^0
3.952210833×10^-1,-8.164022827×10^-1,4.101620636×10^0,9.123078461×10^0
4.051710833×10^-1,-8.228388977×10^-1,4.104315033×10^0,9.139394531×10^0
4.151210833×10^-1,-9.577084351×10^-1,4.060755615×10^0,8.985963593×10^0
4.250700833×10^-1,-8.069718933×10^-1,4.050127716×10^0,8.916058960×10^0
4.350200833×10^-1,-7.685018921×10^-1,4.043691101×10^0,8.990903320×10^0
4.449700833×10^-1,-1.094224548×10^0,4.040547638×10^0,9.084309082×10^0
4.549200833×10^-1,-9.822573853×10^-1,4.095932465×10^0,8.823401642×10^0
4.648700833×10^-1,-8.181985474×10^-1,4.017495575×10^0,8.748257904×10^0
4.748200833×10^-1,-7.240443420×10^-1,3.934418335×10^0,8.900042267×10^0
4.847700833×10^-1,-6.932084656×10^-1,3.821253662×10^0,8.903634796×10^0
4.947200833×10^-1,-6.453080750×10^-1,3.892655182×10^0,8.937015381×10^0
5.046700833×10^-1,-5.367837524×10^-1,3.842958527×10^0,8.908125458×10^0
5.146190833×10^-1,-6.225553894×10^-1,3.828588409×10^0,9.052275696×10^0
5.245690833×10^-1,-6.418652344×10^-1,3.837719421×10^0,9.008716278×10^0
5.345190833×10^-1,-5.613327026×10^-1,3.844455414×10^0,9.063951416×10^0
5.444690833×10^-1,-5.143304443×10^-1,3.831731873×10^0,8.951684875×10^0
5.544190833×10^-1,-5.782475281×10^-1,3.906276855×10^0,9.020092621×10^0
5.643690833×10^-1,-6.770420837×10^-1,3.904779968×10^0,9.131461029×10^0
5.743190833×10^-1,-6.595285034×10^-1,3.940256195×10^0,8.992549896×10^0
5.842690833×10^-1,-6.471043396×10^-1,3.973487091×10^0,8.806337128×10^0
5.942190833×10^-1,-7.340734863×10^-1,4.018543396×10^0,8.743617554×10^0
6.041690833×10^-1,-9.548643494×10^-1,4.195774841×10^0,8.750952301×10^0
6.141180833×10^-1,-1.143621826×10^0,4.364773407×10^0,8.606652374×10^0
6.240680833×10^-1,-1.257235565×10^0,4.187841339×10^0,8.708291016×10^0
6.340180833×10^-1,-1.267863464×10^0,4.155807953×10^0,8.748706970×10^0
6.439680833×10^-1,-1.349593506×10^0,4.150119781×10^0,8.640332336×10^0
6.539180833×10^-1,-1.463656311×10^0,4.136348419×10^0,8.696315918×10^0
