"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.418083322×10^-3,2.344639227×10^-2,-4.573448747×10^-2,4.313138779×10^-3
1.836808333×10^-2,-8.076112717×10^-3,-7.832145691×10^-2,1.426909864×10^-2
2.831808332×10^-2,-2.914162166×10^-2,-8.768991381×10^-2,1.472665649×10^-2
3.826808333×10^-2,-3.882700577×10^-2,-8.080963790×10^-2,1.292822231×10^-2
4.821808334×10^-2,-3.521389514×10^-2,-6.036614999×10^-2,1.205443963×10^-2
5.816708333×10^-2,-2.081498317×10^-2,-3.955461085×10^-2,8.280741051×10^-3
6.811708333×10^-2,-6.937095430×10^-3,-2.431478538×10^-2,3.886674298×10^-3
7.806708333×10^-2,1.245200168×10^-3,-1.199633442×10^-2,3.392391605×10^-3
8.801708333×10^-2,9.736545035×10^-4,-1.648527384×10^-2,-1.965313219×10^-3
9.796708333×10^-2,-1.831322536×10^-2,-2.999442443×10^-2,-3.195693716×10^-3
1.079170833×10^-1,-4.457934946×10^-2,-3.636161610×10^-2,-2.603344386×10^-3
1.178670833×10^-1,-6.836537272×10^-2,-4.166104272×10^-2,1.642266754×10^-3
1.278170833×10^-1,-7.450786978×10^-2,-4.203482345×10^-2,7.230631541×10^-3
1.377670833×10^-1,-6.802466512×10^-2,-3.438915312×10^-2,1.271727495×10^-2
1.477160833×10^-1,-5.411161110×10^-2,-2.777580917×10^-2,1.011106279×10^-2
1.576660833×10^-1,-3.923732415×10^-2,-2.248677239×10^-2,3.594840644×10^-3
1.676160833×10^-1,-2.233876474×10^-2,-1.286309771×10^-2,-8.672193624×10^-3
1.775660833×10^-1,-6.111592054×10^-3,-3.165729810×10^-3,-1.752374135×10^-2
1.875160833×10^-1,4.765124526×10^-3,3.676088527×10^-3,-2.263748273×10^-2
1.974660833×10^-1,7.846668363×10^-3,6.805835757×10^-3,-2.135410532×10^-2
2.074160833×10^-1,4.076866433×10^-3,5.255792290×10^-3,-1.998022199×10^-2
2.173660833×10^-1,-1.027880469×10^-3,-4.763958277×10^-4,-1.645899191×10^-2
2.273160833×10^-1,-9.861499071×10^-3,-7.624457590×10^-3,-1.405550167×10^-2
2.372650833×10^-1,-2.236583829×10^-2,-1.335851010×10^-2,-1.040670369×10^-2
2.472150833×10^-1,-3.074396215×10^-2,-1.948889531×10^-2,-7.117668632×10^-3
2.571650833×10^-1,-4.109913111×10^-2,-2.630738541×10^-2,-3.787385765×10^-3
2.671150833×10^-1,-5.512971804×10^-2,-4.338575155×10^-2,-9.896780830×10^-4
2.770650833×10^-1,-6.412800401×10^-2,-5.833247676×10^-2,-3.962831106×10^-3
2.870150833×10^-1,-5.970707908×10^-2,-6.312938035×10^-2,-9.301454760×10^-3
2.969650833×10^-1,-5.129601434×10^-2,-6.483833492×10^-2,-1.079735253×10^-2
3.069150833×10^-1,-4.110293463×10^-2,-6.373196840×10^-2,-1.535743847×10^-2
3.168650833×10^-1,-3.468152136×10^-2,-6.377325207×10^-2,-2.154982090×10^-2
3.268150833×10^-1,-3.714122996×10^-2,-7.529270649×10^-2,-2.166226134×10^-2
3.367640833×10^-1,-5.594527721×10^-2,-8.871556818×10^-2,-1.297849417×10^-2
3.467140833×10^-1,-8.135077357×10^-2,-1.119639799×10^-1,-4.001795314×10^-3
3.566640833×10^-1,-8.902733028×10^-2,-1.300740093×10^-1,-3.145056544×10^-3
3.666140833×10^-1,-8.823385835×10^-2,-1.445903778×10^-1,-3.490308067×10^-3
3.765640833×10^-1,-8.379437029×10^-2,-1.611696184×10^-1,-5.157713313×10^-3
3.865140833×10^-1,-7.025124878×10^-2,-1.656134278×10^-1,-1.678871550×10^-2
3.964640833×10^-1,-4.937180504×10^-2,-1.611976475×10^-1,-3.369765729×10^-2
4.064140833×10^-1,-3.709880263×10^-2,-1.585135013×10^-1,-2.901927568×10^-2
4.163640833×10^-1,-3.618533537×10^-2,-1.594402790×10^-1,-2.672949061×10^-2
4.263130833×10^-1,-3.991322964×10^-2,-1.529266536×10^-1,-3.031461872×10^-2
4.362630833×10^-1,-3.791798651×10^-2,-1.384299994×10^-1,-1.001760364×10^-2
4.462130833×10^-1,-3.896309063×10^-2,-1.458602101×10^-1,3.209181875×10^-2
4.561630833×10^-1,-5.644594505×10^-2,-1.291824281×10^-1,4.085627943×10^-2
4.661130833×10^-1,-6.128302589×10^-2,-1.223467886×10^-1,4.385136813×10^-2
4.760630833×10^-1,-6.940433383×10^-2,-1.327232569×10^-1,5.373595655×10^-2
4.860130833×10^-1,-7.518280298×10^-2,-1.202078536×10^-1,5.581999570×10^-2
4.959630833×10^-1,-7.678895444×10^-2,-1.352352798×10^-1,4.106874764×10^-2
5.059130833×10^-1,-7.561539114×10^-2,-1.393373609×10^-1,3.563401476×10^-2
5.158620833×10^-1,-7.567584515×10^-2,-1.547256261×10^-1,3.887241706×10^-2
5.258120833×10^-1,-6.409660727×10^-2,-1.356653273×10^-1,3.232473880×10^-2
5.357620833×10^-1,-5.865416676×10^-2,-4.793441668×10^-2,1.231827214×10^-2
5.457120833×10^-1,-4.604178295×10^-2,-3.302628547×10^-2,-3.581814934×10^-3
5.556620833×10^-1,-2.210023254×10^-2,-2.789650485×10^-2,-3.537973389×10^-4
5.656120833×10^-1,-8.000040427×10^-3,-3.230257705×10^-2,1.077713817×10^-2
5.755620833×10^-1,-2.326021902×10^-2,-1.575635746×10^-2,1.054331288×10^-2
5.855120833×10^-1,-4.394771904×10^-2,1.949648745×10^-2,1.154464902×10^-3
5.954620833×10^-1,-4.031516612×10^-2,1.185005605×10^-1,-8.008279838×10^-4
6.054120833×10^-1,2.248729952×10^-2,3.394079208×10^-1,4.350953549×10^-2
6.153610833×10^-1,7.587808371×10^-2,4.247638285×10^-1,6.623402238×10^-2
6.253110833×10^-1,9.646309912×10^-2,4.629288614×10^-1,6.485327333×10^-2
6.352610833×10^-1,7.708407193×10^-2,4.066746235×10^-1,5.135664344×10^-2
6.452110833×10^-1,2.923504263×10^-2,2.919642627×10^-1,5.074111000×10^-2
6.551610833×10^-1,-3.583796322×10^-2,1.619159877×10^-1,6.524335593×10^-2
6.651110833×10^-1,-9.447367489×10^-2,3.985417634×10^-2,9.574875236×10^-2
6.750610833×10^-1,-1.334093511×10^-1,-3.924117610×10^-2,1.437370628×10^-1
6.850110833×10^-1,-1.393606216×10^-1,-6.494524330×10^-2,1.999258399×10^-1
6.949610833×10^-1,-1.164270714×10^-1,-5.238790810×10^-2,2.561060190×10^-1
7.049100833×10^-1,-7.800097764×10^-2,7.118301466×10^-3,3.018690944×10^-1
7.148600833×10^-1,-2.492257766×10^-2,7.186613977×10^-2,3.311425447×10^-1
7.248100833×10^-1,2.967534028×10^-2,1.305744797×10^-1,3.453098238×10^-1
7.347600833×10^-1,8.012972772×10^-2,1.610722095×10^-1,3.508505225×10^-1
7.447100833×10^-1,1.171299443×10^-1,1.618040949×10^-1,3.528384864×10^-1
7.546600833×10^-1,1.407061070×10^-1,1.561339647×10^-1,3.476306796×10^-1
7.646100833×10^-1,1.513449699×10^-1,1.405003816×10^-1,3.364633918×10^-1
7.745600833×10^-1,1.707064211×10^-1,1.217642277×10^-1,3.326047361×10^-1
7.845100833×10^-1,2.134196460×10^-1,1.227949113×10^-1,3.418814242×10^-1
7.944590833×10^-1,2.763099074×10^-1,7.835554332×10^-2,3.514371216×10^-1
8.044090833×10^-1,3.270859122×10^-1,3.732311726×10^-2,3.411937058×10^-1
8.143590833×10^-1,3.776822388×10^-1,3.954632208×10^-2,3.382690251×10^-1
8.243090833×10^-1,5.069996715×10^-1,-1.894331127×10^-1,3.367438614×10^-1
8.342590833×10^-1,5.444557071×10^-1,-1.799184382×10^-1,3.251029253×10^-1
8.442090833×10^-1,5.722945333×10^-1,-2.164900303×10^-1,3.465235233×10^-1
8.541590833×10^-1,6.231409311×10^-1,-1.986543089×10^-1,3.849337697×10^-1
8.641090833×10^-1,6.788100600×10^-1,-7.409415394×10^-2,3.945074975×10^-1
8.740590833×10^-1,7.303145528×10^-1,1.294389963×10^-1,3.914680183×10^-1
8.840090833×10^-1,7.867820859×10^-1,3.563287854×10^-1,3.938245177×10^-1
8.939580833×10^-1,8.627745509×10^-1,5.665091276×10^-1,3.888995349×10^-1
9.039080833×10^-1,9.285345674×10^-1,6.933261752×10^-1,3.641752601×10^-1
9.138580833×10^-1,9.812076092×10^-1,7.399232388×10^-1,3.189132214×10^-1
9.238080833×10^-1,1.022822976×10^0,7.560839057×10^-1,2.455089837×10^-1
9.337580833×10^-1,1.086630702×10^0,7.409704328×10^-1,1.295706630×10^-1
9.437080833×10^-1,1.191382527×10^0,6.242064238×10^-1,-3.525523841×10^-2
9.536580833×10^-1,1.310610056×10^0,3.477862775×10^-1,-2.195638269×10^-1
9.636080833×10^-1,1.387739658×10^0,2.593651116×10^-1,-3.461931646×10^-1
9.735580833×10^-1,1.457999945×10^0,2.020722777×10^-1,-3.673160374×10^-1
9.835080833×10^-1,1.540246129×10^0,8.072609454×10^-2,-3.300504982×10^-1
9.934570833×10^-1,1.628886580×10^0,-3.109098598×10^-2,-2.520529330×10^-1
1.003407083×10^0,1.691595554×10^0,-4.861344397×10^-2,-1.893732846×10^-1
1.013357083×10^0,1.655222654×10^0,2.373868823×10^-1,-2.090575099×10^-1
1.023307083×10^0,1.638783336×10^0,2.244924605×10^-1,-2.533336282×10^-1
1.033257083×10^0,1.666186452×10^0,1.049569994×10^-1,-1.841833144×10^-1
1.043207083×10^0,1.667594194×10^0,-9.275370836×10^-2,-9.558402002×10^-2
1.053157083×10^0,1.644741893×10^0,-2.157145292×10^-1,-1.480768062×10^-2
1.063107083×10^0,1.631655097×10^0,-2.794421613×10^-1,3.523642197×10^-2
1.073057083×10^0,1.639055967×10^0,-2.948285937×10^-1,-8.002459072×10^-5
1.083006083×10^0,1.685566187×10^0,-1.828710288×10^-1,1.416576840×10^-2
1.092956083×10^0,1.745978117×10^0,-1.976656914×10^-1,2.457500063×10^-2
1.102906083×10^0,1.734699726×10^0,-2.166803926×10^-1,6.583002955×10^-2
1.112856083×10^0,1.637708187×10^0,-2.805627286×10^-1,1.379377693×10^-1
1.122806083×10^0,1.443681598×10^0,-3.231304884×10^-1,1.553231031×10^-1
1.132756083×10^0,1.250414848×10^0,-3.248146772×10^-1,1.214495450×10^-1
1.142706083×10^0,1.116810918×10^0,-2.617344856×10^-1,1.347347796×10^-1
1.152656083×10^0,1.162104607×10^0,-1.538770199×10^-1,1.404150277×10^-1
1.162606083×10^0,1.256708980×10^0,7.406669110×10^-2,6.537383050×10^-2
1.172556083×10^0,1.337039232×10^0,2.295564115×10^-1,-4.512570798×10^-3
1.182505083×10^0,1.390168428×10^0,3.317341208×10^-1,-3.562068194×10^-2
1.192455083×10^0,1.463380814×10^0,5.039335489×10^-1,-2.717952803×10^-2
1.202405083×10^0,1.747812033×10^0,6.567539573×10^-1,-5.950523913×10^-2
1.212355083×10^0,2.091020823×10^0,7.406113148×10^-1,-1.569577605×10^-1
1.222305083×10^0,2.382737398×10^0,6.854465604×10^-1,-1.105955541×10^-1
1.232255083×10^0,2.519310713×10^0,6.044459939×10^-1,-1.260721125×10^-2
1.242205083×10^0,2.415622473×10^0,6.145339012×10^-1,2.067190222×10^-2
1.252155083×10^0,2.211555004×10^0,7.246942520×10^-1,1.368749700×10^-2
1.262105083×10^0,2.020495653×10^0,9.386868477×10^-1,-6.848197430×10^-2
1.272055083×10^0,1.890948772×10^0,1.117478132×10^0,-2.020469606×10^-1
1.282004083×10^0,1.900096297×10^0,1.329790235×10^0,-2.149930894×10^-1
1.291954083×10^0,2.009685278×10^0,1.408112645×10^0,-3.488619626×10^-1
1.301904083×10^0,2.041203976×10^0,1.337833762×10^0,-3.154241145×10^-1
1.311854083×10^0,1.888639927×10^0,1.214623690×10^0,-1.552868932×10^-1
1.321804083×10^0,1.569309831×10^0,1.121005893×10^0,5.259598792×10^-2
1.331754083×10^0,1.200455904×10^0,1.075751901×10^0,2.646565735×10^-1
1.341704083×10^0,9.054986835×10^-1,1.039815545×10^0,4.182866812×10^-1
1.351654083×10^0,6.725476980×10^-1,1.000585794×10^0,5.424603224×10^-1
1.361604083×10^0,5.397713780×10^-1,9.189127088×10^-1,6.552460194×10^-1
1.371553083×10^0,5.240696669×10^-1,8.270120621×10^-1,7.108117938×10^-1
1.381503083×10^0,6.138555408×10^-1,6.783549786×10^-1,7.282463312×10^-1
1.391453083×10^0,8.067725301×10^-1,5.512968898×10^-1,6.945994496×10^-1
1.401403083×10^0,9.381022453×10^-1,3.756344914×10^-1,6.072190404×10^-1
1.411353083×10^0,9.540244937×10^-1,2.460064441×10^-1,5.881750584×10^-1
1.421303083×10^0,9.288145900×10^-1,1.683937311×10^-1,4.799742401×10^-1
1.431253083×10^0,8.281587958×10^-1,1.735062003×10^-1,3.373452127×10^-1
1.441203083×10^0,6.688094735×10^-1,1.863712966×10^-1,2.565745115×10^-1
1.451153083×10^0,4.851290882×10^-1,1.673525870×10^-1,2.274262160×10^-1
1.461103083×10^0,3.742115200×10^-1,1.306094527×10^-1,2.283923030×10^-1
1.471052083×10^0,4.441173673×10^-1,-3.035786189×10^-2,2.751347721×10^-1
1.481002083×10^0,5.440024137×10^-1,-2.394694835×10^-1,3.724301159×10^-1
1.490952083×10^0,6.534564495×10^-1,-4.115395248×10^-1,4.338705838×10^-1
1.500902083×10^0,7.990330458×10^-1,-7.446485162×10^-1,5.207473040×10^-1
1.510852083×10^0,1.031579137×10^0,-1.213382721×10^0,8.221017718×10^-1
1.520802083×10^0,1.445882797×10^0,-1.455283523×10^0,8.397085667×10^-1
1.530752083×10^0,1.823128581×10^0,-1.313725591×10^0,5.450865030×10^-1
1.540702083×10^0,2.050611734×10^0,-1.144152999×10^0,4.144695401×10^-1
1.550652083×10^0,2.193957806×10^0,-8.418320417×10^-1,2.815487683×10^-1
1.560602083×10^0,2.240326881×10^0,-6.188955307×10^-1,3.820637241×10^-2
1.570551083×10^0,2.130350590×10^0,-5.754884481×10^-1,-7.213451713×10^-2
1.580501083×10^0,1.859058380×10^0,-8.122947216×10^-1,-4.088035971×10^-2
1.590451083×10^0,1.259332895×10^0,-4.675594866×10^-1,-1.393704563×10^-1
1.600401083×10^0,4.619392455×10^-1,4.048340768×10^-2,-6.784871221×10^-2
1.610351083×10^0,-3.806511164×10^-1,2.044803351×10^-1,1.676407605×10^-1
1.620301083×10^0,-6.686663628×10^-1,2.642614245×10^-1,2.180230469×10^-1
1.630251083×10^0,-6.721505523×10^-1,3.454816937×10^-1,2.994968891×10^-1
1.640201083×10^0,-4.736559689×10^-1,5.515840054×10^-1,7.893317938×10^-1
1.650151083×10^0,-2.137969583×10^-1,2.613196671×10^-1,9.736406803×10^-1
1.660100083×10^0,-1.750939488×10^-1,1.703488827×10^-1,7.732377648×10^-1
1.670050083×10^0,-1.400776505×10^-1,2.886201143×10^-1,4.954719245×10^-1
1.680000083×10^0,-6.934951991×10^-2,2.976181805×10^-1,3.447441459×10^-1
1.689950083×10^0,-1.572570205×10^-2,1.948598474×10^-1,3.213280439×10^-1
1.699900083×10^0,-2.853558213×10^-2,6.421411783×10^-2,3.270027936×10^-1
1.709850083×10^0,-3.636500984×10^-2,-2.483213320×10^-2,3.900989294×10^-1
1.719800083×10^0,-7.178184390×10^-2,-1.673736870×10^-1,5.031471848×10^-1
1.729750083×10^0,-1.204130277×10^-1,-2.941612005×10^-1,6.257830858×10^-1
1.739700083×10^0,-1.743187904×10^-1,-4.036223888×10^-1,7.272748351×10^-1
1.749650083×10^0,-1.162467003×10^-1,-3.975367844×10^-1,5.262317061×10^-1
1.759599083×10^0,-6.488355994×10^-2,-3.056665324×10^-2,-7.542297244×10^-2
1.769549083×10^0,2.957556769×10^-2,1.815880835×10^-2,-5.054585636×10^-2
1.779499083×10^0,5.244439840×10^-2,4.615734518×10^-2,-5.292354524×10^-2
1.789449083×10^0,1.011528149×10^-1,2.696420811×10^-2,1.148553938×10^-2
1.799399083×10^0,9.400498867×10^-2,4.106394202×10^-2,9.267987683×10^-3
1.809349083×10^0,1.044523045×10^-1,7.468288392×10^-2,8.769975975×10^-3
1.819299083×10^0,1.060614660×10^-1,1.349093765×10^-1,2.315177768×10^-2
1.829249083×10^0,1.091994643×10^-1,9.155448526×10^-3,1.007086132×10^-2
1.839199083×10^0,9.788022935×10^-2,-3.444498405×10^-3,1.918819360×10^-2
1.849149083×10^0,1.112421080×10^-1,-5.504453555×10^-3,2.601121366×10^-2
1.859098083×10^0,1.276363432×10^-1,-1.060457900×10^-3,8.756809868×10^-3
1.869048083×10^0,1.370556802×10^-1,-1.857808325×10^-3,1.499979105×10^-2
1.878998083×10^0,1.467415243×10^-1,-1.041822322×10^-2,1.985672303×10^-2
1.888948083×10^0,1.516521275×10^-1,1.848266646×10^-2,1.773045398×10^-2
1.898898083×10^0,1.746927798×10^-1,2.844687551×10^-2,1.431876700×10^-2
1.908848083×10^0,1.771279722×10^-1,3.731413931×10^-2,4.423526116×10^-3
1.918798125×10^0,1.583252847×10^-1,2.507146820×10^-2,-1.183397137×10^-2
1.928748125×10^0,1.517576575×10^-1,-1.228335313×10^-4,-1.504814066×10^-2
1.938698125×10^0,1.389817744×10^-1,-5.665777251×10^-3,-1.449068077×10^-2
1.948648125×10^0,1.071676537×10^-1,-1.604989287×10^-3,-7.499083411×10^-3
1.958597125×10^0,7.971607149×10^-2,-2.452377696×10^-3,-5.897915922×10^-3
1.968547125×10^0,4.889663309×10^-2,-1.022880804×10^-2,-1.688789809×10^-3
1.978497125×10^0,1.219870895×10^-2,-1.724898443×10^-2,-8.491391782×10^-4
1.988447125×10^0,-1.883643866×10^-2,-3.718487173×10^-2,-8.997390978×10^-4
1.998397125×10^0,-3.077688627×10^-2,-5.469819903×10^-2,-3.735942766×10^-3
2.008347125×10^0,-3.712585941×10^-2,-5.117829889×10^-2,-3.585474100×10^-3
2.018297125×10^0,-1.828726940×10^-2,-1.154797338×10^-2,-8.896544576×10^-3
2.028247125×10^0,4.597273655×10^-3,-8.560439572×10^-3,-9.603347629×10^-3
2.038197125×10^0,2.797980234×10^-2,1.355858985×10^-3,-2.094965894×10^-3
2.048147125×10^0,3.272289038×10^-2,2.869599732×10^-3,2.000709763×10^-3
2.058096125×10^0,2.477201074×10^-2,3.012580797×10^-3,5.118931644×10^-3
2.068046125×10^0,2.082014643×10^-2,6.388936192×10^-3,7.761320099×10^-3
2.077996125×10^0,1.175575703×10^-2,6.886685267×10^-3,7.514893077×10^-3
2.087946125×10^0,1.566261426×10^-2,2.024171408×10^-4,1.277942955×10^-2
2.097896125×10^0,2.615501173×10^-2,6.691775634×10^-4,8.518300951×10^-3
2.107846125×10^0,2.969408594×10^-2,6.944775814×10^-4,6.310806610×10^-3
2.117796125×10^0,1.882366464×10^-2,2.609388903×10^-4,8.177843876×10^-3
2.127746125×10^0,1.283954177×10^-2,5.847984925×10^-3,6.779418327×10^-3
2.137696125×10^0,8.211590350×10^-3,5.361893680×10^-3,2.481082221×10^-3
2.147646125×10^0,8.346346207×10^-3,8.010939695×10^-3,4.697099328×10^-3
2.157595125×10^0,5.631620064×10^-3,8.296589367×10^-3,3.469709074×10^-3
2.167545125×10^0,-2.686763415×10^-3,1.016479731×10^-2,1.449967967×10^-3
2.177495125×10^0,-7.114458829×10^-3,6.480218843×10^-3,7.256390527×10^-3
2.187445125×10^0,-1.037257072×10^-2,1.674590632×10^-2,-1.590897213×10^-3
2.197395125×10^0,-1.039181091×10^-2,8.611596189×10^-3,-1.246179547×10^-2
2.207345125×10^0,-2.765848767×10^-3,-9.134655120×10^-4,-7.836684585×10^-3
2.217295125×10^0,-3.306826577×10^-3,-1.001209114×10^-2,-2.810506616×10^-3
2.227245125×10^0,-3.622944001×10^-3,-1.351494621×10^-2,-3.646739293×10^-3
2.237195125×10^0,1.121110516×10^-3,-1.214224473×10^-2,-1.598032541×10^-3
2.247145125×10^0,2.814081963×10^-3,-1.064714603×10^-2,-5.085333250×10^-4
2.257094125×10^0,6.470246240×10^-3,-2.186485566×10^-3,1.788170775×10^-3
2.267044125×10^0,1.386371441×10^-2,-1.485275105×10^-3,4.940288141×10^-3
2.276994125×10^0,1.794723980×10^-2,-5.772459554×10^-4,1.787167974×10^-3
2.286944125×10^0,2.074249275×10^-2,5.045300350×10^-4,-4.311470781×10^-3
2.296894125×10^0,1.380157191×10^-2,-5.329750478×10^-3,-7.511327974×10^-3
2.306844125×10^0,4.712736234×10^-3,-8.423279040×10^-3,-4.019657150×10^-3
2.316794125×10^0,-6.664190907×10^-3,-7.560862694×10^-3,-3.718409920×10^-3
2.326744125×10^0,-6.630635355×10^-3,-2.721632831×10^-3,-7.801444735×10^-4
2.336694125×10^0,-1.721194829×10^-3,-5.826657871×10^-4,9.671121370×10^-4
2.346643125×10^0,7.911991328×10^-3,8.477180381×10^-4,-5.109424237×10^-4
2.356593125×10^0,1.805346832×10^-2,-2.374749631×10^-3,-2.463208511×10^-4
2.366543125×10^0,2.570233308×10^-2,-5.737523548×10^-3,-1.021833159×10^-3
2.376493125×10^0,3.178251907×10^-2,-5.490551703×10^-3,-4.499866627×10^-4
2.386443125×10^0,2.943973802×10^-2,-4.609045107×10^-3,-2.068399917×10^-4
2.396393125×10^0,2.191578411×10^-2,-4.566212185×10^-3,7.634048816×10^-4
2.406343125×10^0,1.284798700×10^-2,-2.263643080×10^-3,3.615650581×10^-3
2.416293125×10^0,4.580380395×10^-3,-1.618121751×10^-4,5.729128607×10^-3
2.426243125×10^0,-3.358148388×10^-4,2.174046356×10^-3,3.899270669×10^-3
2.436193125×10^0,-4.431835841×10^-3,1.384438481×10^-3,-5.213483237×10^-3
2.446142125×10^0,-5.766612012×10^-3,3.300849348×10^-3,-5.210554227×10^-3
2.456092125×10^0,-4.688239191×10^-3,-1.329522929×10^-3,-5.420304835×10^-3
2.466042125×10^0,-7.064844482×10^-3,-5.100681446×10^-4,-5.111910403×10^-3
2.475992125×10^0,-9.896731935×10^-3,-3.945814446×10^-3,-1.832606737×10^-3
2.485942125×10^0,-1.348853763×10^-2,-4.136638017×10^-4,1.351734856×10^-3
2.495892125×10^0,-1.459662337×10^-2,1.396211213×10^-3,4.345217720×10^-3
2.505842125×10^0,-2.048407309×10^-2,-6.251279265×10^-4,3.291404573×10^-3
2.515792125×10^0,-1.578897610×10^-2,-3.414247418×10^-3,-1.511962153×10^-3
2.525742125×10^0,-1.034361031×10^-2,-9.825540707×10^-3,-2.956993412×10^-3
2.535691125×10^0,-1.054896135×10^-2,-7.684804499×10^-3,8.243175689×10^-4
