"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.770166670×10^-3,-1.205271930×10^-1,-3.953333944×10^-2,-9.890031070×10^-3
1.671916667×10^-2,-1.326163709×10^-1,-5.073052272×10^-2,-7.866841741×10^-3
2.666916667×10^-2,-1.143470928×10^-1,-7.743323594×10^-2,-1.488799974×10^-2
3.661916667×10^-2,-6.767719239×10^-2,-8.066805452×10^-2,-3.125577420×10^-2
4.656916667×10^-2,-2.341865562×10^-2,-7.189213485×10^-2,-4.596547782×10^-2
5.651816667×10^-2,-4.668717738×10^-3,-9.400215745×10^-2,-6.300756335×10^-2
6.646816667×10^-2,-2.706766594×10^-3,-1.241984144×10^-1,-8.387423307×10^-2
7.641816667×10^-2,-8.064853959×10^-3,-1.326199621×10^-1,-1.000092626×10^-1
8.636716667×10^-2,-1.818486676×10^-2,-1.320897341×10^-1,-1.057241410×10^-1
9.631716667×10^-2,-3.312689438×10^-2,-1.198469549×10^-1,-1.005317941×10^-1
1.062671667×10^-1,-4.835085571×10^-2,-1.041558757×10^-1,-9.239743650×10^-2
1.162171667×10^-1,-6.812828779×10^-2,-9.155716747×10^-2,-9.200486541×10^-2
1.261661667×10^-1,-8.025818318×10^-2,-7.711484283×10^-2,-1.005831733×10^-1
1.361161667×10^-1,-8.635672927×10^-2,-6.222250685×10^-2,-1.107401997×10^-1
1.460661667×10^-1,-8.569919318×10^-2,-5.846478418×10^-2,-1.232661158×10^-1
1.560161667×10^-1,-8.185400069×10^-2,-5.610784888×10^-2,-1.316470951×10^-1
1.659651667×10^-1,-8.140685409×10^-2,-7.299149036×10^-2,-1.321421862×10^-1
1.759151667×10^-1,-6.682360172×10^-2,-9.817858785×10^-2,-1.333243400×10^-1
1.858651667×10^-1,-3.918451816×10^-2,-1.001240239×10^-1,-1.272776425×10^-1
1.958151667×10^-1,-1.607888937×10^-2,-9.366939217×10^-2,-1.191688552×10^-1
2.057641667×10^-1,-4.634485580×10^-3,-8.419785649×10^-2,-1.063638479×10^-1
2.157141667×10^-1,-1.027261093×10^-2,-6.862119585×10^-2,-9.352391213×10^-2
2.256641667×10^-1,-2.706490643×10^-2,-4.687462002×10^-2,-7.880914211×10^-2
2.356141667×10^-1,-4.818043485×10^-2,-2.241148241×10^-2,-7.028944045×10^-2
2.455631667×10^-1,-6.320172548×10^-2,3.110921942×10^-3,-6.839700043×10^-2
2.555131667×10^-1,-5.787838250×10^-2,1.980200037×10^-2,-7.103966922×10^-2
2.654631667×10^-1,-4.445445538×10^-2,3.006768785×10^-2,-7.513694465×10^-2
2.754121667×10^-1,-2.993647568×10^-2,3.309819475×10^-2,-7.553029060×10^-2
2.853621667×10^-1,-1.671680994×10^-2,2.354517020×10^-2,-7.570952177×10^-2
2.953121667×10^-1,-1.145980135×10^-2,9.219205007×10^-3,-7.337364554×10^-2
3.052621667×10^-1,-5.714564119×10^-3,-1.910678227×10^-3,-7.188733667×10^-2
3.152111667×10^-1,1.652999595×10^-2,-1.373450086×10^-2,-6.787317246×10^-2
3.251613333×10^-1,4.719895497×10^-2,-2.675762586×10^-2,-6.374260783×10^-2
3.351113333×10^-1,8.369344473×10^-2,-3.579475358×10^-2,-5.927862599×10^-2
3.450613333×10^-1,1.174026728×10^-1,-5.091565102×10^-2,-5.356374756×10^-2
3.550103333×10^-1,1.374807209×10^-1,-5.795440450×10^-2,-4.292256758×10^-2
3.649603333×10^-1,1.423670799×10^-1,-7.249499857×10^-2,-3.825590760×10^-2
3.749103333×10^-1,1.378541887×10^-1,-8.507840335×10^-2,-4.550687969×10^-2
3.848603333×10^-1,1.355766505×10^-1,-9.611640871×10^-2,-6.572453678×10^-2
