"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.270333334×10^-3,-3.098257141×10^0,1.936073914×10^0,8.773106232×10^0
8.679666666×10^-3,-3.191213837×10^0,1.899849243×10^0,8.904981995×10^0
1.862966667×10^-2,-3.153641968×10^0,1.883682861×10^0,9.198820953×10^0
2.857966666×10^-2,-3.015928345×10^0,1.892963562×10^0,9.374106445×10^0
3.852966666×10^-2,-2.999911652×10^0,1.883682861×10^0,9.370663605×10^0
4.847966666×10^-2,-3.099754028×10^0,1.878294067×10^0,9.312434692×10^0
5.842966666×10^-2,-3.072959747×10^0,1.885479126×10^0,9.245823212×10^0
6.837966667×10^-2,-2.931054840×10^0,1.878892822×10^0,9.176816711×10^0
7.832966667×10^-2,-2.867287445×10^0,1.878593445×10^0,9.166637878×10^0
8.827866667×10^-2,-2.833906860×10^0,1.818568268×10^0,9.175319824×10^0
9.822866667×10^-2,-2.844534760×10^0,1.763632507×10^0,9.200317841×10^0
1.081786667×10^-1,-2.847827911×10^0,1.733844452×10^0,9.250762939×10^0
1.181291667×10^-1,-3.008892975×10^0,1.747316437×10^0,9.161398773×10^0
1.280791667×10^-1,-3.281176758×10^0,1.822909241×10^0,8.965905304×10^0
1.380291667×10^-1,-3.091072083×10^0,1.826202393×10^0,9.025331726×10^0
1.479791667×10^-1,-2.905458069×10^0,1.706750793×10^0,9.278305664×10^0
1.579291667×10^-1,-2.800975342×10^0,1.590742035×10^0,9.428742828×10^0
1.678791667×10^-1,-2.631976776×10^0,1.542841644×10^0,9.533674622×10^0
1.778291667×10^-1,-2.368225250×10^0,1.549427948×10^0,9.645492096×10^0
1.877791667×10^-1,-2.210752716×10^0,1.595232697×10^0,9.740394745×10^0
1.977291667×10^-1,-2.243684235×10^0,1.640139313×10^0,9.831854553×10^0
2.076791667×10^-1,-2.353406067×10^0,1.661694489×10^0,9.873468018×10^0
2.176291667×10^-1,-2.502645721×10^0,1.644629974×10^0,9.913285217×10^0
2.275781667×10^-1,-2.648143158×10^0,1.643731842×10^0,9.916278992×10^0
