"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.677875001×10^-3,-2.207762599×10^-1,-6.363938451×10^-1,-2.521376908×10^-1
1.762687500×10^-2,-3.309408426×10^-1,-7.762840986×10^-1,-2.766150534×10^-1
2.757487500×10^-2,-4.375500083×10^-1,-8.937210441×10^-1,-2.963716984×10^-1
3.752387500×10^-2,-5.270886421×10^-1,-9.933584332×10^-1,-2.943314612×10^-1
4.747187500×10^-2,-5.823984742×10^-1,-1.050819159×10^0,-3.049162328×10^-1
5.742087500×10^-2,-6.165884137×10^-1,-1.187134743×10^0,-3.474924564×10^-1
6.736887500×10^-2,-5.886602402×10^-1,-1.347703457×10^0,-3.732792735×10^-1
7.731687500×10^-2,-4.794922471×10^-1,-1.474408627×10^0,-3.779808283×10^-1
8.726587500×10^-2,-3.351591527×10^-1,-1.452928662×10^0,-4.206892550×10^-1
9.721387500×10^-2,-2.323816717×10^-1,-1.426633239×10^0,-5.161787868×10^-1
1.071628750×10^-1,-1.743274182×10^-1,-1.442985177×10^0,-6.171039939×10^-1
1.171108750×10^-1,-1.771439761×10^-1,-1.529545665×10^0,-7.053608894×10^-1
1.270598750×10^-1,-2.192123681×10^-1,-1.690324306×10^0,-7.448107004×10^-1
1.370078750×10^-1,-2.763728797×10^-1,-2.028622389×10^0,-7.606940866×10^-1
1.469568750×10^-1,-3.537580967×10^-1,-2.535391808×10^0,-8.003096581×10^-1
1.569048750×10^-1,-2.504697740×10^-1,-2.750503063×10^0,-8.349363208×10^-1
1.668528750×10^-1,-5.236582085×10^-2,-2.321476460×10^0,-7.898728848×10^-1
1.768018750×10^-1,1.885676831×10^-1,-2.285889626×10^0,-7.484341264×10^-1
1.867498750×10^-1,3.064131141×10^-1,-2.254274607×10^0,-7.051599026×10^-1
1.966988750×10^-1,2.468520552×10^-1,-2.221698046×10^0,-6.262195110×10^-1
2.066458750×10^-1,2.730740421×10^-2,-2.074520111×10^0,-5.711601377×10^-1
2.165948750×10^-1,-2.550121546×10^-1,-1.631510735×10^0,-3.566997349×10^-1
2.265428750×10^-1,-4.690435529×10^-1,-1.738623738×10^0,-2.599770129×10^-1
2.364918750×10^-1,-7.784599662×10^-1,-1.746685028×10^0,-4.054852128×10^-1
2.464398750×10^-1,-1.086449862×10^0,-1.711764693×10^0,-3.377940357×10^-1
2.563878750×10^-1,-1.381465793×10^0,-1.789479256×10^0,-3.134780228×10^-1
2.663368750×10^-1,-1.671731591×10^0,-1.676042080×10^0,-3.465280235×10^-1
2.762848750×10^-1,-1.893011570×10^0,-1.539535880×10^0,-2.625484467×10^-1
2.862338750×10^-1,-2.015185356×10^0,-1.314895511×10^0,-2.138676941×10^-1
2.961818750×10^-1,-2.016434431×10^0,-9.698055983×10^-1,-3.077393174×10^-1
3.061308750×10^-1,-1.850632429×10^0,-5.926784277×10^-1,-4.342330098×10^-1
3.160788750×10^-1,-1.535671830×10^0,-3.779692948×10^-1,-6.914155483×10^-1
3.260278750×10^-1,-1.183283925×10^0,-3.120115213×10^-2,-1.028238654×10^0
3.359758750×10^-1,-8.867946863×10^-1,2.581616938×10^-1,-1.353987217×10^0
3.459238750×10^-1,-8.900890350×10^-1,4.315887094×10^-1,-1.721288085×10^0
3.558728750×10^-1,-9.995741844×10^-1,4.838109016×10^-1,-1.899780035×10^0
3.658208750×10^-1,-1.093748808×10^0,5.564730167×10^-1,-1.771086693×10^0
3.757698750×10^-1,-1.237601280×10^0,5.562250614×10^-1,-1.599470377×10^0
3.857178750×10^-1,-1.473166704×10^0,4.620898664×10^-1,-1.511422276×10^0
3.956668750×10^-1,-1.783413529×10^0,2.000175118×10^-1,-1.492972136×10^0
4.056148750×10^-1,-2.182871342×10^0,-5.956403017×10^-1,-1.554124594×10^0
4.155638750×10^-1,-2.524871111×10^0,-1.072998166×10^0,-1.590115786×10^0
4.255118750×10^-1,-2.571582794×10^0,-1.617638469×10^0,-1.624226451×10^0
4.354598750×10^-1,-2.198299170×10^0,-2.321713209×10^0,-1.759844422×10^0
4.454088750×10^-1,-1.870579481×10^0,-1.902036548×10^0,-2.084508419×10^0
4.553568750×10^-1,-1.449761152×10^0,-1.961299300×10^0,-2.397459984×10^0
4.653058750×10^-1,-1.254262567×10^0,-1.788567781×10^0,-2.528294802×10^0
4.752538750×10^-1,-1.307216763×10^0,-1.273853064×10^0,-2.407506943×10^0
4.852028750×10^-1,-1.510299921×10^0,-8.776500821×10^-1,-2.001768589×10^0
4.951508750×10^-1,-1.724540114×10^0,-4.536141455×10^-1,-1.462150574×10^0
5.050998750×10^-1,-1.853519678×10^0,-8.515145630×10^-2,-1.011029243×10^0
5.150478750×10^-1,-1.897369742×10^0,-1.466024294×10^-2,-7.053022385×10^-1
5.249958750×10^-1,-1.837385654×10^0,-1.932514459×10^-1,-6.324518323×10^-1
5.349448750×10^-1,-1.685367703×10^0,-5.898443460×10^-1,-8.115608692×10^-1
5.448928750×10^-1,-1.379687786×10^0,-1.138642907×10^0,-1.204339027×10^0
