"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.630416662×10^-4,-2.828667755×10^0,5.695356445×10^0,6.128256226×10^0
8.985958333×10^-3,-2.707419891×10^0,5.784720612×10^0,5.770350494×10^0
1.893395833×10^-2,-2.176024933×10^0,5.882167969×10^0,5.358856201×10^0
2.888195833×10^-2,-2.427202606×10^0,5.545817413×10^0,5.120701447×10^0
3.882995833×10^-2,-2.805765381×10^0,5.035678253×10^0,4.752616882×10^0
4.877895833×10^-2,-2.545606384×10^0,4.991370392×10^0,4.752467194×10^0
5.872695833×10^-2,-1.888622589×10^0,5.503904572×10^0,4.746629333×10^0
6.867495833×10^-2,-2.347867584×10^0,5.575904846×10^0,5.026846619×10^0
7.862295833×10^-2,-3.073408813×10^0,5.401517487×10^0,5.459746399×10^0
8.857183333×10^-2,-3.127596130×10^0,5.297783203×10^0,6.079607391×10^0
9.851983333×10^-2,-2.986439667×10^0,4.941074982×10^0,6.918462982×10^0
1.084678333×10^-1,-2.833607483×10^0,4.411625977×10^0,7.942483521×10^0
1.184158333×10^-1,-2.461181946×10^0,4.553081818×10^0,8.151598663×10^0
1.283648333×10^-1,-2.155517578×10^0,4.833448792×10^0,7.023843842×10^0
1.383128333×10^-1,-1.880090332×10^0,4.576433258×10^0,5.995632019×10^0
1.482608333×10^-1,-1.310524750×10^0,4.436324615×10^0,5.706433411×10^0
1.582088333×10^-1,-1.127904510×10^0,4.734504547×10^0,5.631139984×10^0
1.681578333×10^-1,-6.818321228×10^-1,5.082830200×10^0,5.318589935×10^0
1.781058333×10^-1,-3.384461975×10^-1,4.720284119×10^0,6.030509491×10^0
1.880538333×10^-1,-4.152365112×10^-1,4.949008484×10^0,5.646408234×10^0
1.980018333×10^-1,-1.759590912×10^0,5.262007599×10^0,3.056344299×10^0
2.079508333×10^-1,-3.815565491×10^0,4.686903534×10^0,1.910477142×10^0
2.178988333×10^-1,-5.151986389×10^0,5.092410278×10^0,1.086291046×10^0
2.278468333×10^-1,-5.365442505×10^0,5.583089905×10^0,1.407373352×10^0
2.377958333×10^-1,-5.294639740×10^0,6.229146423×10^0,2.018253021×10^0
2.477438333×10^-1,-5.462740173×10^0,6.540948029×10^0,2.377805328×10^0
2.576918333×10^-1,-6.387517090×10^0,6.906188507×10^0,3.091820526×10^0
2.676398333×10^-1,-6.629264374×10^0,7.032675476×10^0,3.387904816×10^0
2.775888333×10^-1,-6.352340240×10^0,6.965614929×10^0,3.169658661×10^0
2.875368333×10^-1,-7.211852875×10^0,7.245532837×10^0,2.780767365×10^0
2.974848333×10^-1,-8.762628021×10^0,7.777376862×10^0,1.993704071×10^0
3.074328333×10^-1,-9.234895935×10^0,8.040829010×10^0,1.202898560×10^0
3.173818333×10^-1,-1.017030075×10^1,7.946674805×10^0,7.455995178×10^-1
3.273298333×10^-1,-1.097727264×10^1,8.337961121×10^0,1.911524963×10^-1
3.372778333×10^-1,-8.775351563×10^0,8.313262482×10^0,5.393284607×10^-1
