"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.969166657×10^-4,-6.750357896×10^-2,-4.126766324×10^-1,-1.807042658×10^-1
1.044691667×10^-2,-1.191294864×10^-1,-4.498358965×10^-1,-2.056402117×10^-1
2.039691667×10^-2,-1.182197481×10^-1,-4.379637837×10^-1,-2.739454806×10^-1
3.034591667×10^-2,-7.570610195×10^-2,-3.935179710×10^-1,-3.523003757×10^-1
4.029591667×10^-2,-1.901991852×10^-2,-3.331616819×10^-1,-4.276790023×10^-1
5.024591667×10^-2,3.920111805×10^-2,-2.574384511×10^-1,-4.887127280×10^-1
6.019491667×10^-2,1.057263464×10^-1,-2.001746297×10^-1,-5.224962831×10^-1
7.014491667×10^-2,1.984740943×10^-1,-1.901885271×10^-1,-5.227082372×10^-1
8.009491667×10^-2,3.260879815×10^-1,-1.991849542×10^-1,-5.045005083×10^-1
9.004391667×10^-2,4.934337437×10^-1,-2.119317651×10^-1,-4.869558513×10^-1
9.999391667×10^-2,6.968275905×10^-1,-2.429245710×10^-1,-4.704719484×10^-1
1.099439167×10^-1,8.990478516×10^-1,-2.995106876×10^-1,-4.826231301×10^-1
1.198929167×10^-1,1.053907156×10^0,-4.147952199×10^-1,-6.083325744×10^-1
1.298429167×10^-1,1.226511002×10^0,-4.361391068×10^-1,-7.105060816×10^-1
1.397919167×10^-1,1.312749267×10^0,-4.687228799×10^-1,-8.769291639×10^-1
1.497419167×10^-1,1.314311862×10^0,-5.476981401×10^-1,-1.032545924×10^0
1.596919167×10^-1,1.207538009×10^0,-5.990087390×10^-1,-1.152378082×10^0
1.696409167×10^-1,1.048627973×10^0,-4.908419251×10^-1,-1.225644112×10^0
1.795909167×10^-1,8.999564052×10^-1,-3.451928496×10^-1,-1.207280517×10^0
1.895409167×10^-1,7.862483263×10^-1,-2.566116750×10^-1,-1.138835907×10^0
1.994899167×10^-1,7.479733229×10^-1,-1.505749971×10^-1,-1.061813116×10^0
2.094399167×10^-1,7.765657306×10^-1,-7.352616638×10^-2,-1.026829600×10^0
2.193899167×10^-1,8.848839998×10^-1,-3.151186556×10^-2,-1.042786121×10^0
2.293389167×10^-1,1.068427682×10^0,-5.671911873×10^-3,-1.097953677×10^0
2.392889167×10^-1,1.304921269×10^0,-1.304380782×10^-2,-1.187583923×10^0
2.492389167×10^-1,1.571995974×10^0,-3.853954375×10^-2,-1.287903428×10^0
2.591879167×10^-1,1.810780048×10^0,-1.221103370×10^-1,-1.390751481×10^0
2.691379167×10^-1,1.988025308×10^0,-2.248781770×10^-1,-1.476632476×10^0
2.790879167×10^-1,2.104146719×10^0,-2.914561033×10^-1,-1.537131786×10^0
2.890369167×10^-1,2.165243149×10^0,-3.629120290×10^-1,-1.560805082×10^0
2.989869167×10^-1,2.181092501×10^0,-3.907982707×10^-1,-1.566572189×10^0
3.089369167×10^-1,2.138676882×10^0,-3.924749494×10^-1,-1.588523507×10^0
3.188859167×10^-1,2.048732042×10^0,-3.617817461×10^-1,-1.641296148×10^0
3.288359167×10^-1,1.940824151×10^0,-2.842097878×10^-1,-1.737556815×10^0
3.387849167×10^-1,1.858651519×10^0,-1.914130151×10^-1,-1.872756481×10^0
3.487349167×10^-1,1.818401694×10^0,-6.468328089×10^-2,-2.027841568×10^0
3.586849167×10^-1,1.800746560×10^0,9.788699448×10^-2,-2.185227871×10^0
3.686339167×10^-1,1.783895731×10^0,2.703614533×10^-1,-2.320350885×10^0
3.785839167×10^-1,1.776300669×10^0,4.398679137×10^-1,-2.391071558×10^0
3.885339167×10^-1,1.825610995×10^0,5.259293914×10^-1,-2.405391693×10^0
3.984829167×10^-1,2.003238201×10^0,5.247051120×10^-1,-2.336476326×10^0
4.084329167×10^-1,2.318662405×10^0,5.292912126×10^-1,-2.113217592×10^0
4.183829167×10^-1,2.637543201×10^0,7.332206368×10^-1,-1.705849290×10^0
4.283319167×10^-1,2.699306011×10^0,1.103915572×10^0,-1.174674392×10^0
4.382819167×10^-1,2.413016319×10^0,1.390191317×10^0,-6.731271148×10^-1
4.482319167×10^-1,1.859474301×10^0,1.652349830×10^0,-1.903008223×10^-1
4.581809167×10^-1,1.273744702×10^0,1.746950626×10^0,2.378766090×10^-1
4.681309167×10^-1,8.565469980×10^-1,1.787421107×10^0,5.444118977×10^-1
4.780809167×10^-1,6.706064343×10^-1,1.911962271×10^0,7.247273326×10^-1
4.880299167×10^-1,7.202765942×10^-1,2.007139683×10^0,7.632024288×10^-1
4.979805417×10^-1,9.340764880×10^-1,2.121835470×10^0,7.099799514×10^-1
5.079295417×10^-1,1.127334952×10^0,2.236904144×10^0,5.904988647×10^-1
5.178795417×10^-1,1.176447868×10^0,2.216138124×10^0,4.620063603×10^-1
5.278295417×10^-1,1.059114933×10^0,2.123188734×10^0,3.500114381×10^-1
5.377785417×10^-1,8.562678099×10^-1,1.965465546×10^0,2.318797410×10^-1
5.477285417×10^-1,6.736525297×10^-1,1.736661315×10^0,5.542196333×10^-2
5.576785417×10^-1,5.785138011×10^-1,1.383494973×10^0,-1.157654971×10^-1
5.676275417×10^-1,6.370660067×10^-1,8.035935760×10^-1,-2.364747375×10^-1
5.775775417×10^-1,6.552338600×10^-1,2.302519679×10^-1,-4.210619032×10^-1
5.875275417×10^-1,5.445432663×10^-1,-2.679550648×10^-1,-6.916807890×10^-1
5.974765417×10^-1,4.046058655×10^-1,-6.134488583×10^-1,-9.052457809×10^-1
6.074265417×10^-1,3.044923246×10^-1,-7.036639452×10^-1,-1.017452478×10^0
6.173765417×10^-1,2.938343585×10^-1,-5.938900709×10^-1,-1.056259036×10^0
6.273255417×10^-1,4.077901542×10^-1,-3.797643781×10^-1,-1.035949707×10^0
6.372755417×10^-1,5.664284825×10^-1,-9.134215117×10^-2,-9.757607579×10^-1
6.472255417×10^-1,7.312748432×10^-1,2.021927238×10^-1,-8.647030592×10^-1
6.571745417×10^-1,8.671410680×10^-1,3.970509171×10^-1,-7.052031755×10^-1
6.671245417×10^-1,9.444945455×10^-1,4.736335278×10^-1,-5.287709236×10^-1
6.770745417×10^-1,9.928556681×10^-1,4.356520474×10^-1,-3.756487370×10^-1
6.870235417×10^-1,1.136440039×10^0,4.491625726×10^-1,-1.822564602×10^-1
6.969735417×10^-1,1.291458964×10^0,4.505847096×10^-1,1.385530224×10^-3
7.069225417×10^-1,1.444046378×10^0,4.151140749×10^-1,1.563480943×10^-1
7.168725417×10^-1,1.598239183×10^0,2.429992855×10^-1,2.797403336×10^-1
7.268225417×10^-1,1.525545239×10^0,7.264885306×10^-2,3.828113377×10^-1
7.367715417×10^-1,1.276649952×10^0,-5.672244728×10^-2,3.926194906×10^-1
7.467215417×10^-1,9.867768884×10^-1,-1.144742295×10^-1,3.447826803×10^-1
7.566715417×10^-1,7.947901487×10^-1,-2.341508269×10^-1,3.112340569×10^-1
7.666205417×10^-1,6.459729075×10^-1,-2.368885428×10^-1,1.403111517×10^-1
7.765705417×10^-1,5.784623027×10^-1,-2.971010208×10^-1,-7.129962556×10^-3
7.865205417×10^-1,4.844864905×10^-1,-3.683192432×10^-1,-1.518853307×10^-1
7.964695417×10^-1,3.254883289×10^-1,-4.476760924×10^-1,-4.891973138×10^-1
