"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-4.809999991×10^-4,-9.828561401×10^-1,4.953648834×10^0,8.566685486×10^0
9.468000000×10^-3,-1.075513458×10^0,4.826413422×10^0,8.615334320×10^0
1.941800000×10^-2,-1.028511200×10^0,4.624183960×10^0,8.812773743×10^0
2.936700000×10^-2,-6.903643799×10^-1,4.367168427×10^0,9.094188538×10^0
3.931600000×10^-2,-3.014730835×10^-1,4.214036865×10^0,9.529483337×10^0
4.926600000×10^-2,-1.474433899×10^-1,4.408931580×10^0,1.011132339×10^1
5.921500000×10^-2,3.073109436×10^-1,4.703668671×10^0,1.049572403×10^1
6.916400000×10^-2,7.626640320×10^-1,4.692142639×10^0,1.036369858×10^1
7.911400000×10^-2,9.075627136×10^-1,4.431833954×10^0,9.766739960×10^0
8.906300000×10^-2,8.190966797×10^-1,4.155807953×10^0,8.878187714×10^0
9.901300000×10^-2,4.638853455×10^-1,3.894900513×10^0,7.979606323×10^0
1.089620000×10^-1,1.041833496×10^-1,3.814517670×10^0,7.201823730×10^0
1.189110000×10^-1,-3.239263916×10^-1,3.864513702×10^0,6.402485962×10^0
1.288610000×10^-1,-8.355624390×10^-1,3.938310242×10^0,5.788612518×10^0
1.388100000×10^-1,-1.095122681×10^0,4.104614410×10^0,5.726791077×10^0
1.487600000×10^-1,-1.296753387×10^0,4.261637878×10^0,5.723797302×10^0
1.587090000×10^-1,-1.758842468×10^0,4.440515900×10^0,6.104306030×10^0
1.686580000×10^-1,-2.073188782×10^0,4.578828278×10^0,6.832990723×10^0
1.786080000×10^-1,-2.300565948×10^0,4.503085785×10^0,7.753127289×10^0
1.885570000×10^-1,-2.442321167×10^0,4.274511108×10^0,8.765621796×10^0
1.985060000×10^-1,-2.481689301×10^0,4.184099121×10^0,9.700427856×10^0
2.084560000×10^-1,-2.563269653×10^0,4.127067719×10^0,1.028301636×10^1
2.184050000×10^-1,-2.706072693×10^0,4.139192505×10^0,1.046653473×10^1
2.283550000×10^-1,-2.717898102×10^0,4.292473755×10^0,1.037911652×10^1
2.383040000×10^-1,-2.576292572×10^0,4.673581238×10^0,1.035142410×10^1
2.482530000×10^-1,-2.497705994×10^0,5.170098724×10^0,1.030561935×10^1
2.582030000×10^-1,-2.268831940×10^0,5.316494293×10^0,9.689650269×10^0
2.681520000×10^-1,-2.220931549×10^0,5.260660400×10^0,8.818162537×10^0
2.781010000×10^-1,-2.726130981×10^0,5.736670532×10^0,8.366851044×10^0
2.880510000×10^-1,-3.170856171×10^0,6.299350433×10^0,8.229586487×10^0
2.980000000×10^-1,-3.125650177×10^0,6.636599121×10^0,8.231532440×10^0
3.079500000×10^-1,-2.865042114×10^0,6.878945160×10^0,8.386460266×10^0
3.178990000×10^-1,-2.857407990×10^0,7.068151703×10^0,8.552465057×10^0
3.278480000×10^-1,-2.869832153×10^0,7.261250153×10^0,8.717721405×10^0
3.377980000×10^-1,-2.598296814×10^0,7.192842407×10^0,8.740773468×10^0
3.477470000×10^-1,-2.529440002×10^0,6.987469482×10^0,8.502469025×10^0
3.576970000×10^-1,-2.946772156×10^0,6.891369324×10^0,8.131240997×10^0
3.676460000×10^-1,-3.548371124×10^0,6.636449432×10^0,7.565866699×10^0
3.775950000×10^-1,-4.270319824×10^0,6.417754211×10^0,7.028184814×10^0
3.875450000×10^-1,-5.050946503×10^0,6.321953430×10^0,6.821165314×10^0
3.974940000×10^-1,-5.440286865×10^0,6.083199921×10^0,6.885681152×10^0
4.074430000×10^-1,-5.477110291×10^0,5.549409943×10^0,6.843319244×10^0
4.173930000×10^-1,-5.608686676×10^0,5.311704254×10^0,6.583160248×10^0
4.273420000×10^-1,-5.773793335×10^0,5.457052002×10^0,6.169869690×10^0
4.372920000×10^-1,-6.060147858×10^0,5.716462555×10^0,5.757926331×10^0
4.472410000×10^-1,-6.083349609×10^0,5.915997620×10^0,5.257666626×10^0
4.571900000×10^-1,-5.920338593×10^0,5.704038391×10^0,4.100273438×10^0
4.671400000×10^-1,-6.047574005×10^0,5.133724365×10^0,2.848426666×10^0
4.770890000×10^-1,-6.253096619×10^0,4.770280151×10^0,2.487676849×10^0
4.870380000×10^-1,-6.275998993×10^0,4.730163574×10^0,2.854863281×10^0
4.969880000×10^-1,-6.121520233×10^0,4.459526367×10^0,2.843486938×10^0
5.069370000×10^-1,-6.226302338×10^0,4.121379547×10^0,2.758164368×10^0
5.168870000×10^-1,-6.199957123×10^0,3.887416077×10^0,2.533631287×10^0
5.268360000×10^-1,-6.087241516×10^0,3.910617828×10^0,2.421364746×10^0
5.367850000×10^-1,-6.178851013×10^0,4.108805695×10^0,2.252665558×10^0
5.467350000×10^-1,-6.209387512×10^0,4.625680847×10^0,1.796564026×10^0
5.566840000×10^-1,-5.938450928×10^0,6.266119537×10^0,1.174607391×10^0
5.666340000×10^-1,-5.168302460×10^0,8.096064148×10^0,6.301895142×10^-2
5.765830000×10^-1,-4.463717651×10^0,9.096583557×10^0,-1.423539734×10^0
5.865320000×10^-1,-4.560566254×10^0,9.219328308×10^0,-2.672991486×10^0
5.964820000×10^-1,-4.932093658×10^0,8.735234985×10^0,-3.157982941×10^0
6.064310000×10^-1,-5.684429169×10^0,7.795638885×10^0,-2.733914795×10^0
6.163800000×10^-1,-6.796316986×10^0,6.914571075×10^0,-1.644330597×10^0
6.263300000×10^-1,-8.064779205×10^0,5.920637970×10^0,-3.121009827×10^-1
6.362790000×10^-1,-9.015751648×10^0,5.368585968×10^0,3.029699707×10^-1
6.462290000×10^-1,-9.608369293×10^0,5.061574402×10^0,9.145980835×10^-2
6.561780000×10^-1,-9.882449341×10^0,4.372257843×10^0,-2.089654541×10^-1
6.661270000×10^-1,-9.792935486×10^0,3.565136261×10^0,-2.733316040×10^-1
6.760770000×10^-1,-9.334139557×10^0,3.549568634×10^0,-2.636018372×10^-1
6.860260000×10^-1,-8.843609619×10^0,4.126768341×10^0,-3.713777161×10^-1
6.959750000×10^-1,-8.703950043×10^0,4.634512482×10^0,-8.090675354×10^-1
7.059250000×10^-1,-8.937165070×10^0,4.724325714×10^0,-1.429078217×10^0
7.158740000×10^-1,-9.419162750×10^0,4.740941162×10^0,-2.139949951×10^0
7.258240000×10^-1,-9.526639252×10^0,4.545447693×10^0,-2.467019806×10^0
7.357730000×10^-1,-9.628128204×10^0,4.258195038×10^0,-1.954186249×10^0
7.457220000×10^-1,-9.639803925×10^0,4.195625153×10^0,-8.084687805×10^-1
7.556722500×10^-1,-9.354197845×10^0,3.714525604×10^0,1.387165375×10^0
7.656212500×10^-1,-8.565338287×10^0,3.975133667×10^0,3.460653534×10^0
7.755712500×10^-1,-7.917036438×10^0,5.135820007×10^0,3.895798645×10^0
7.855202500×10^-1,-7.526199188×10^0,6.010600891×10^0,3.172652435×10^0
7.954692500×10^-1,-7.533533936×10^0,6.538253632×10^0,1.506616974×10^0
8.054192500×10^-1,-7.688761139×10^0,6.679410095×10^0,1.474433899×10^-1
8.153682500×10^-1,-7.892637177×10^0,5.382357330×10^0,-1.995350647×10^-1
