"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.002791667×10^-2,7.629038393×10^-2,-3.784516361×10^-3,-1.474053115×10^-1
1.997791666×10^-2,3.610367700×10^-2,-3.117027879×10^-2,-1.828397065×10^-1
2.992791666×10^-2,4.564928357×10^-3,-5.855502933×10^-2,-2.102034092×10^-1
3.987791666×10^-2,-1.584573835×10^-2,-7.702069730×10^-2,-2.274396420×10^-1
4.982791666×10^-2,-1.520258654×10^-2,-7.079476118×10^-2,-2.507665455×10^-1
5.977791666×10^-2,8.941992419×10^-4,-3.892144188×10^-2,-2.774706483×10^-1
6.972791666×10^-2,3.779309615×10^-2,-1.250181813×10^-2,-3.259585500×10^-1
7.967791666×10^-2,8.415941894×10^-2,-4.712142516×10^-3,-3.952302337×10^-1
8.962791666×10^-2,1.330145895×10^-1,-1.731901430×10^-2,-4.689276218×10^-1
9.957791667×10^-2,1.662001759×10^-1,-1.761719957×10^-2,-5.399079919×10^-1
1.095279167×10^-1,1.837293804×10^-1,1.116944104×10^-2,-5.998373628×10^-1
1.194779167×10^-1,1.905027777×10^-1,2.835627273×10^-2,-6.588715315×10^-1
1.294279167×10^-1,1.931656748×10^-1,2.516633831×10^-2,-7.120061517×10^-1
1.393779167×10^-1,2.130324692×10^-1,5.722263455×10^-2,-7.562702894×10^-1
1.493269167×10^-1,2.573794127×10^-1,8.724418283×10^-2,-8.088358045×10^-1
1.592769167×10^-1,3.508368134×10^-1,1.276744753×10^-1,-9.016497731×10^-1
1.692269167×10^-1,4.535053968×10^-1,1.078688130×10^-1,-9.720762372×10^-1
1.791769167×10^-1,5.498926044×10^-1,4.750397801×10^-2,-1.055328012×10^0
1.891269167×10^-1,6.326016188×10^-1,-2.564266697×10^-2,-1.078314066×10^0
1.990769167×10^-1,6.737167239×10^-1,-1.688797772×10^-2,-1.104683280×10^0
2.090269167×10^-1,6.842604280×10^-1,1.122313961×10^-1,-1.110922575×10^0
2.189769167×10^-1,7.207093835×10^-1,3.535781801×10^-1,-1.072450519×10^0
2.289269167×10^-1,7.931045294×10^-1,6.814823151×10^-1,-1.018914342×10^0
2.388769167×10^-1,8.995253444×10^-1,9.564205408×10^-1,-9.746280909×10^-1
2.488269167×10^-1,9.956449270×10^-1,1.143259406×10^0,-9.482049942×10^-1
2.587769167×10^-1,1.116545320×10^0,1.354323626×10^0,-8.684491515×10^-1
2.687269167×10^-1,1.276575685×10^0,1.163715243×10^0,-9.909763932×10^-1
2.786769167×10^-1,1.290508032×10^0,1.125413656×10^0,-1.077542543×10^0
2.886269167×10^-1,1.273789525×10^0,1.248356104×10^0,-1.106154919×10^0
2.985759167×10^-1,1.288600922×10^0,1.261262298×10^0,-1.094402194×10^0
3.085259167×10^-1,1.263914466×10^0,1.222819805×10^0,-1.039910197×10^0
3.184759167×10^-1,1.210765719×10^0,1.238486886×10^0,-1.013982415×10^0
3.284259167×10^-1,1.118785977×10^0,1.339512587×10^0,-9.705380201×10^-1
3.383759167×10^-1,1.051293254×10^0,1.414000392×10^0,-8.868855834×10^-1
3.483259167×10^-1,1.020569682×10^0,1.469076395×10^0,-8.176295757×10^-1
3.582759167×10^-1,1.015003681×10^0,1.573268652×10^0,-7.746236324×10^-1
3.682259167×10^-1,1.052617669×10^0,1.684337854×10^0,-7.174676657×10^-1
3.781759167×10^-1,1.179513931×10^0,1.698182225×10^0,-7.520508766×10^-1
3.881259167×10^-1,1.316414237×10^0,1.675927043×10^0,-7.948644161×10^-1
3.980759167×10^-1,1.409733772×10^0,1.419332862×10^0,-8.797016740×10^-1
4.080259167×10^-1,1.218651772×10^0,1.043514252×10^0,-9.783225060×10^-1
4.179759167×10^-1,9.976483583×10^-1,8.142471910×10^-1,-9.834108353×10^-1
4.279264167×10^-1,8.802375793×10^-1,7.150748372×10^-1,-8.491262197×10^-1
4.378754167×10^-1,9.397544265×10^-1,6.979641914×10^-1,-6.909341216×10^-1
4.478254167×10^-1,1.009197354×10^0,7.800393701×10^-1,-6.584459543×10^-1
4.577754167×10^-1,9.834360480×10^-1,9.177960157×10^-1,-6.807506680×10^-1
4.677254167×10^-1,1.046415925×10^0,9.673531651×10^-1,-6.477631330×10^-1
4.776754167×10^-1,1.329918265×10^0,1.029058933×10^0,-5.838398337×10^-1
4.876254167×10^-1,1.841461420×10^0,1.302354693×10^0,-6.080519557×10^-1
4.975754167×10^-1,2.488838911×10^0,1.414180994×10^0,-7.204301953×10^-1
5.075254167×10^-1,2.896385193×10^0,1.266099572×10^0,-8.732284904×10^-1
5.174754167×10^-1,2.909573555×10^0,1.006827116×10^0,-9.646015167×10^-1
5.274254167×10^-1,2.851335287×10^0,9.127219319×10^-1,-9.648126960×10^-1
5.373754167×10^-1,2.705398321×10^0,8.880308270×10^-1,-8.742775321×10^-1
5.473254167×10^-1,2.641654253×10^0,1.009483218×10^0,-7.017632723×10^-1
5.572754167×10^-1,2.600915432×10^0,1.222328901×10^0,-5.099988580×10^-1
5.672254167×10^-1,2.440807343×10^0,1.201381564×10^0,-3.913646042×10^-1
5.771754167×10^-1,2.136346340×10^0,9.011467099×10^-1,-2.888237834×10^-1
5.871244167×10^-1,1.796524882×10^0,3.248453140×10^-1,-2.317245603×10^-1
