"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.112500079×10^-5,-1.322050781×10^0,4.847669220×10^0,6.116430817×10^0
9.928874992×10^-3,-1.039737854×10^0,4.873565369×10^0,5.735023956×10^0
1.987887500×10^-2,-9.279203796×10^-1,4.982389069×10^0,5.572162628×10^0
2.982887499×10^-2,-6.225553894×10^-1,5.097948761×10^0,5.435347137×10^0
3.977887500×10^-2,-2.130070496×10^-1,5.073549500×10^0,5.531147919×10^0
4.972887499×10^-2,-3.305126953×10^-1,5.093458099×10^0,5.607938232×10^0
5.967887500×10^-2,-2.065704346×10^-1,5.179379425×10^0,5.578150177×10^0
6.962887499×10^-2,-3.367996216×10^-2,5.120851135×10^0,5.575605469×10^0
7.957887500×10^-2,-1.901046753×10^-2,4.865482178×10^0,5.458399200×10^0
8.952887499×10^-2,3.555107117×10^-1,4.900808716×10^0,5.153782654×10^0
9.947887500×10^-2,4.587959290×10^-1,5.038222961×10^0,5.054688721×10^0
1.094288750×10^-1,2.249821472×10^-1,4.980592804×10^0,5.074597321×10^0
1.193788750×10^-1,-1.249900818×10^-1,4.946912842×10^0,5.430706787×10^0
1.293288750×10^-1,-2.318678284×10^-1,5.103487244×10^0,5.917943573×10^0
1.392798750×10^-1,-1.731898499×10^-1,5.296885071×10^0,6.030808868×10^0
1.492298750×10^-1,-4.116439819×10^-2,5.453908539×10^0,5.623655548×10^0
1.591798750×10^-1,1.954934692×10^-1,5.555247803×10^0,4.912933502×10^0
1.691298750×10^-1,3.070115662×10^-1,5.713768158×10^0,4.589156799×10^0
1.790798750×10^-1,3.162922668×10^-1,6.073021088×10^0,4.485572205×10^0
1.890298750×10^-1,3.263214111×10^-2,6.403982849×10^0,4.349355469×10^0
1.989798750×10^-1,-4.087998962×10^-1,6.636000366×10^0,4.543352051×10^0
2.089298750×10^-1,-9.809101868×10^-1,7.191794586×10^0,4.743186493×10^0
2.188798750×10^-1,-1.604513397×10^0,7.855514374×10^0,4.682263184×10^0
2.288298750×10^-1,-1.688488770×10^0,8.189619598×10^0,4.547393646×10^0
2.387798750×10^-1,-1.575324097×10^0,8.231532440×10^0,4.542902985×10^0
2.487298750×10^-1,-1.526525574×10^0,8.119714966×10^0,4.768034821×10^0
2.586798750×10^-1,-9.268725586×10^-1,8.039631500×10^0,5.074747009×10^0
2.686298750×10^-1,-1.130449219×10^0,8.368497620×10^0,5.226681061×10^0
2.785798750×10^-1,-1.372645569×10^0,8.545729065×10^0,5.738167419×10^0
2.885298750×10^-1,-1.454824677×10^0,8.566386108×10^0,6.079757080×10^0
2.984808750×10^-1,-1.927691345×10^0,8.606802063×10^0,6.562503204×10^0
3.084308750×10^-1,-2.715503082×10^0,8.895701294×10^0,6.629863129×10^0
3.183808750×10^-1,-3.594026184×10^0,9.271569672×10^0,5.951623535×10^0
3.283308750×10^-1,-4.068389740×10^0,9.512867889×10^0,4.953948212×10^0
3.382808750×10^-1,-4.577331390×10^0,9.670340424×10^0,4.159550171×10^0
3.482308750×10^-1,-5.343288574×10^0,9.802665253×10^0,3.975732422×10^0
3.581808750×10^-1,-5.901328125×10^0,9.816286926×10^0,4.159849548×10^0
3.681308750×10^-1,-7.610024872×10^0,9.749076691×10^0,5.763015747×10^0
3.780808750×10^-1,-8.104895782×10^0,9.871971130×10^0,6.343658295×10^0
