"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.773624999×10^-3,-5.571171176×10^-3,-5.966896657×10^-3,2.099920763×10^-3
1.872362500×10^-2,2.098007128×10^-2,-6.284890324×10^-2,-7.565852720×10^-4
2.867362500×10^-2,2.733570524×10^-2,-7.349808514×10^-2,-1.461790176×10^-3
3.862362500×10^-2,7.723861840×10^-3,-4.476409033×10^-2,1.037585782×10^-3
4.857362500×10^-2,-3.166336333×10^-3,-3.018754907×10^-2,5.923050921×10^-4
5.852362500×10^-2,4.543914460×10^-3,-3.354580700×10^-2,1.194549259×10^-3
6.847362500×10^-2,1.439974178×10^-2,-4.344983771×10^-2,1.932777464×10^-3
7.842362500×10^-2,1.044396218×10^-2,-4.405148700×10^-2,2.262623515×10^-3
8.837362500×10^-2,5.396206398×10^-3,-3.919468075×10^-2,2.380867954×10^-3
9.832362500×10^-2,4.648427945×10^-3,-3.766479343×10^-2,7.453369908×10^-4
1.082736250×10^-1,7.628239226×10^-3,-3.679340705×10^-2,1.829243265×10^-3
1.182236250×10^-1,8.007132448×10^-3,-3.133905679×10^-2,3.744224552×10^-3
1.281736250×10^-1,2.958044875×10^-3,-1.969971135×10^-2,2.386811189×10^-3
1.381236250×10^-1,1.655999105×10^-3,-1.239482500×10^-2,2.184270881×10^-3
1.480736250×10^-1,1.797146630×10^-3,-7.250662427×10^-3,2.494528890×10^-3
1.580236250×10^-1,2.871454926×10^-3,-9.244311601×10^-3,8.273485582×10^-4
1.679736250×10^-1,8.674261626×10^-4,-9.092777967×10^-3,1.339474460×10^-3
1.779236250×10^-1,6.538516027×10^-4,-6.809909362×10^-3,2.241842449×10^-4
1.878736250×10^-1,2.729252912×10^-3,-9.778801352×10^-3,4.335087724×10^-4
1.978236250×10^-1,5.526354536×10^-3,-1.524989121×10^-2,-8.097458631×10^-4
2.077736250×10^-1,9.719502181×10^-3,-2.529613487×10^-2,1.737596467×10^-4
2.177236250×10^-1,1.184134372×10^-2,-3.451763093×10^-2,-4.155768082×10^-3
2.276736250×10^-1,9.149153717×10^-3,-3.526384756×10^-2,-2.748554107×10^-3
2.376232083×10^-1,7.218149491×10^-3,-2.696990408×10^-2,-1.471827505×10^-3
2.475732083×10^-1,4.005844705×10^-3,-1.639049686×10^-2,-8.332014550×10^-4
2.575232083×10^-1,4.300315399×10^-3,-1.205041353×10^-2,-5.113249645×10^-4
2.674722083×10^-1,2.510138787×10^-3,-9.947581217×10^-3,9.486200288×10^-4
2.774222083×10^-1,1.246569911×10^-3,-1.213140599×10^-2,-7.459775079×10^-4
2.873722083×10^-1,3.601603210×10^-3,-1.216496155×10^-2,-6.517015863×10^-4
2.973222083×10^-1,5.490024108×10^-3,-3.193733515×10^-3,-9.964534547×10^-4
