"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.220874998×10^-3,-2.458786926×10^0,2.046394501×10^0,7.542964325×10^0
8.729125002×10^-3,-2.561024323×10^0,2.139500885×10^0,7.655530243×10^0
1.867912500×10^-2,-2.499951324×10^0,2.196232910×10^0,8.048762512×10^0
2.862912500×10^-2,-2.185904388×10^0,2.120490417×10^0,8.515042877×10^0
3.857912500×10^-2,-1.778900757×10^0,1.834734650×10^0,8.930878143×10^0
4.852912500×10^-2,-1.446292419×10^0,1.538500671×10^0,9.082662506×10^0
5.847912500×10^-2,-1.130449219×10^0,1.760189667×10^0,9.021739197×10^0
6.842912500×10^-2,-8.181985474×10^-1,1.917811890×10^0,8.658594360×10^0
7.837912500×10^-2,-6.830296326×10^-1,1.800755310×10^0,8.270750885×10^0
8.832812500×10^-2,-4.008663940×10^-1,1.014141083×10^0,8.018525391×10^0
9.827812500×10^-2,-6.141728210×10^-1,3.965254211×10^-1,8.218958588×10^0
1.082281250×10^-1,-1.028062134×10^0,5.824388123×10^-1,8.410111084×10^0
1.181782083×10^-1,-1.163680115×10^0,8.843609619×10^-1,8.715476074×10^0
1.281282083×10^-1,-1.105451202×10^0,1.109343109×10^0,8.984915771×10^0
1.380782083×10^-1,-8.532257080×10^-1,1.403780823×10^0,9.144184570×10^0
1.480282083×10^-1,-8.210426331×10^-1,1.609453125×10^0,9.217082977×10^0
1.579782083×10^-1,-9.466314697×10^-1,1.654659119×10^0,9.158554688×10^0
1.679282083×10^-1,-1.107546844×10^0,1.467997284×10^0,8.907526703×10^0
1.778772083×10^-1,-1.388063507×10^0,1.211131439×10^0,8.599467316×10^0
1.878272083×10^-1,-1.776505737×10^0,9.734257507×10^-1,8.322543182×10^0
1.977772083×10^-1,-2.196232910×10^0,7.921527100×10^-1,8.282875671×10^0
2.077272083×10^-1,-2.474504242×10^0,6.354286194×10^-1,8.567882996×10^0
2.176772083×10^-1,-2.545905762×10^0,4.005670166×10^-1,9.100176086×10^0
2.276272083×10^-1,-2.499502258×10^0,1.535806274×10^-1,9.679022369×10^0
2.375772083×10^-1,-2.429747314×10^0,1.287322998×10^-2,1.006970993×10^1
2.475272083×10^-1,-2.386786652×10^0,7.918533325×10^-2,1.040486298×10^1
2.574772083×10^-1,-2.399959259×10^0,2.306703186×10^-1,1.072265213×10^1
2.674262083×10^-1,-2.386038208×10^0,3.769161987×10^-1,1.091859467×10^1
2.773762083×10^-1,-2.286944275×10^0,4.360432434×10^-1,1.111229187×10^1
2.873262083×10^-1,-2.108814697×10^0,4.763095093×10^-1,1.134146530×10^1
2.972762083×10^-1,-2.038910065×10^0,5.333409119×10^-1,1.158845169×10^1
3.072262083×10^-1,-1.937121735×10^0,5.248086548×10^-1,1.163560364×10^1
3.171762083×10^-1,-1.820663910×10^0,4.815486145×10^-1,1.154549103×10^1
3.271262083×10^-1,-1.858385468×10^0,4.968168640×10^-1,1.138741974×10^1
3.370762083×10^-1,-1.918710022×10^0,5.813909912×10^-1,1.119791382×10^1
3.470262083×10^-1,-1.955383759×10^0,6.512956238×10^-1,1.104717728×10^1
3.569752083×10^-1,-1.875300293×10^0,6.836283875×10^-1,1.099029556×10^1
3.669252083×10^-1,-1.757944336×10^0,6.655160522×10^-1,1.094688583×10^1
3.768752083×10^-1,-1.597927094×10^0,6.185137939×10^-1,1.092892319×10^1
3.868252083×10^-1,-1.464105377×10^0,6.102809143×10^-1,1.089913513×10^1
3.967752083×10^-1,-1.354682922×10^0,5.668711853×10^-1,1.088147186×10^1
4.067252083×10^-1,-1.202000427×10^0,4.532574463×10^-1,1.074555450×10^1
4.166752083×10^-1,-1.082099762×10^0,2.791694641×10^-1,1.053269714×10^1
4.266252083×10^-1,-1.076112213×10^0,1.670526123×10^-1,1.039872574×10^1
4.365752083×10^-1,-1.165775757×10^0,9.684860229×10^-2,1.032133667×10^1
4.465252083×10^-1,-1.219963074×10^0,-2.888992310×10^-2,1.022927811×10^1
4.564742083×10^-1,-1.312321014×10^0,-2.559677124×10^-1,1.012225067×10^1
4.664242083×10^-1,-1.463806000×10^0,-5.215155029×10^-1,9.986483002×10^0
4.763742083×10^-1,-1.579814758×10^0,-6.655160522×10^-1,9.932894440×10^0
4.863242083×10^-1,-1.732197876×10^0,-6.619235229×10^-1,9.944570160×10^0
4.962742083×10^-1,-1.788031769×10^0,-6.363267517×10^-1,9.933642883×10^0
5.062242083×10^-1,-1.705553284×10^0,-6.180647278×10^-1,9.783804474×10^0
5.161742083×10^-1,-1.704954529×10^0,-5.942642212×10^-1,9.608219604×10^0
5.261242083×10^-1,-1.819017334×10^0,-5.167254639×10^-1,9.432335358×10^0
5.360742083×10^-1,-1.914818115×10^0,-4.731660461×10^-1,9.282946014×10^0
5.460242083×10^-1,-1.989961853×10^0,-4.637356567×10^-1,9.251062317×10^0
5.559732083×10^-1,-2.043849792×10^0,-4.646337891×10^-1,9.314680023×10^0
5.659232083×10^-1,-2.046544189×10^0,-4.818479919×10^-1,9.455237732×10^0
5.758732083×10^-1,-2.042652283×10^0,-4.980143738×10^-1,9.614955597×10^0
5.858232083×10^-1,-1.987117767×10^0,-5.029541016×10^-1,9.820328522×10^0
5.957732083×10^-1,-1.932631073×10^0,-4.828958130×10^-1,1.001237915×10^1
6.057232083×10^-1,-1.845811615×10^0,-4.528083801×10^-1,1.015054184×10^1
6.156732083×10^-1,-1.698368225×10^0,-3.839515686×10^-1,1.026954437×10^1
6.256232083×10^-1,-1.536854095×10^0,-2.847079468×10^-1,1.037702087×10^1
6.355732083×10^-1,-1.375489655×10^0,-1.652563477×10^-1,1.042357407×10^1
6.455222083×10^-1,-1.234782257×10^0,-6.271957397×10^-2,1.046024780×10^1
6.554722083×10^-1,-1.122964783×10^0,1.182540894×10^-2,1.049527496×10^1
6.654222083×10^-1,-1.072070618×10^0,4.370910645×10^-2,1.048704208×10^1
6.753722083×10^-1,-1.066831512×10^0,-6.137237549×10^-3,1.043285477×10^1
