"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.703875001×10^-3,-8.638536072×10^-1,7.134164429×10^0,6.177054749×10^0
1.265187500×10^-2,-5.388793945×10^-1,7.059320068×10^0,6.125561829×10^0
2.260087500×10^-2,-2.897973633×10^-1,7.017706604×10^0,6.075266418×10^0
3.254887500×10^-2,-3.344046021×10^-1,6.988517303×10^0,6.146967316×10^0
4.249787500×10^-2,-4.936734009×10^-1,7.023843842×10^0,6.213878174×10^0
5.244587500×10^-2,-3.492237854×10^-1,7.053631897×10^0,6.262377319×10^0
6.239487500×10^-2,1.197509766×10^-2,6.857090607×10^0,6.276747437×10^0
7.234287500×10^-2,8.158035278×10^-2,6.886878662×10^0,6.547983398×10^0
8.229187500×10^-2,-1.199006653×10^-1,7.128925323×10^0,7.207062836×10^0
9.223987500×10^-2,1.962419128×10^-1,7.157366180×10^0,7.689808960×10^0
1.021878750×10^-1,8.810678101×10^-1,6.962621155×10^0,7.740703125×10^0
1.121368750×10^-1,1.382075958×10^0,6.696324921×10^0,7.678282928×10^0
1.220848750×10^-1,1.284329224×10^0,6.517147522×10^0,7.415130157×10^0
1.320338750×10^-1,1.048868866×10^0,6.507417755×10^0,6.906637573×10^0
1.419818750×10^-1,1.202599182×10^0,6.700067139×10^0,6.511010284×10^0
1.519308750×10^-1,1.874402161×10^0,6.497238922×10^0,6.343658295×10^0
1.618788750×10^-1,2.359243927×10^0,6.218967590×10^0,8.155041504×10^0
1.718278750×10^-1,1.944755859×10^0,6.913223877×10^0,9.245823212×10^0
1.817758750×10^-1,3.346890106×10^0,7.582781525×10^0,8.345295868×10^0
1.917248750×10^-1,2.800376587×10^0,7.179969177×10^0,7.040459290×10^0
2.016728750×10^-1,2.388582916×10^0,6.361920319×10^0,5.287005615×10^0
2.116198750×10^-1,2.553689575×10^0,6.600823517×10^0,3.850293274×10^0
2.215688750×10^-1,2.053130493×10^0,6.428681488×10^0,3.780388641×10^0
2.315168750×10^-1,3.157384186×10^0,5.987698517×10^0,3.193608856×10^0
2.414658750×10^-1,4.600832520×10^0,7.842491455×10^0,2.882256317×10^0
2.514138750×10^-1,4.080065460×10^0,7.907007294×10^0,2.986439667×10^0
2.613628750×10^-1,4.087100830×10^0,7.174580383×10^0,2.284100189×10^0
2.713108750×10^-1,4.035907288×10^0,7.026987305×10^0,2.093396759×10^0
2.812598750×10^-1,3.917503510×10^0,6.328539734×10^0,2.161056061×10^0
2.912078750×10^-1,4.018094330×10^0,6.183042297×10^0,2.713407440×10^0
3.011558750×10^-1,3.655847626×10^0,5.260959778×10^0,3.770958252×10^0
3.111048750×10^-1,3.022814026×10^0,3.950435028×10^0,5.366490326×10^0
3.210528750×10^-1,4.446353760×10^0,3.971541138×10^0,6.670877838×10^0
3.310018750×10^-1,5.271138611×10^0,3.638483734×10^0,7.254813538×10^0
3.409498750×10^-1,5.569468231×10^0,3.106340332×10^0,7.326963501×10^0
3.508988750×10^-1,5.523364105×10^0,2.734962616×10^0,6.561006317×10^0
3.608468750×10^-1,4.887935486×10^0,2.778222656×10^0,5.521118774×10^0
3.707958750×10^-1,3.305576019×10^0,3.737877045×10^0,4.816084900×10^0
3.807438750×10^-1,1.848206635×10^0,4.597389679×10^0,4.555327148×10^0
3.906918750×10^-1,1.189276886×10^0,4.452341309×10^0,4.416565704×10^0
4.006408750×10^-1,1.158141632×10^0,4.584666138×10^0,3.943699036×10^0
4.105888750×10^-1,1.865570526×10^0,4.546345825×10^0,2.072440338×10^0
4.205378750×10^-1,1.930834808×10^0,3.579656067×10^0,3.074157257×10^0
4.304858750×10^-1,2.033970337×10^0,3.541036377×10^0,6.305787048×10^0
4.404348750×10^-1,2.649041290×10^0,4.111051025×10^0,1.051159103×10^1
4.503828750×10^-1,3.094065857×10^0,4.237238617×10^0,1.283311340×10^1
4.603318750×10^-1,2.821632385×10^0,4.233646088×10^0,1.382060989×10^1
4.702798750×10^-1,1.630708923×10^0,3.635789337×10^0,1.146705414×10^1
4.802278750×10^-1,1.092727661×10^0,3.516337738×10^0,1.116423386×10^1
4.901768750×10^-1,-1.095721436×10^-1,3.318000183×10^0,1.093191696×10^1
5.001248750×10^-1,-7.834707642×10^-1,3.067121887×10^0,1.074854828×10^1
5.100738750×10^-1,-6.825805664×10^-1,3.001408539×10^0,1.067295547×10^1
5.200218750×10^-1,-3.107537842×10^-1,3.313509521×10^0,1.001267853×10^1
5.299708750×10^-1,3.245251465×10^-1,4.305197296×10^0,9.671238556×10^0
5.399188750×10^-1,7.957452393×10^-1,5.158722382×10^0,9.836644592×10^0
5.498678750×10^-1,1.409468994×10^0,5.607638855×10^0,1.090871521×10^1
5.598158750×10^-1,1.816173248×10^0,5.616171112×10^0,1.259795242×10^1
5.697638750×10^-1,1.588347015×10^0,5.045108643×10^0,1.335223389×10^1
5.797128750×10^-1,8.813671875×10^-1,4.498445435×10^0,1.283850220×10^1
5.896608750×10^-1,-7.903564453×10^-2,4.460274811×10^0,1.166643951×10^1
5.996098750×10^-1,-8.524772644×10^-1,4.791236572×10^0,1.033525772×10^1
6.095578750×10^-1,-1.173559570×10^0,5.147944794×10^0,9.479487305×10^0
6.195068750×10^-1,-1.251996460×10^0,5.346731415×10^0,9.488917694×10^0
6.294548750×10^-1,-1.352287903×10^0,5.221292267×10^0,9.937834167×10^0
6.394038750×10^-1,-1.586850128×10^0,4.764891357×10^0,1.044812302×10^1
6.493518750×10^-1,-1.453627167×10^0,4.658013611×10^0,1.066577042×10^1
6.592998750×10^-1,-6.337820435×10^-1,5.248685303×10^0,1.079614929×10^1
6.692488750×10^-1,2.418969727×10^-1,5.972579956×10^0,1.113354767×10^1
6.791968750×10^-1,8.987310791×10^-1,6.217021637×10^0,1.098685272×10^1
6.891458750×10^-1,1.642534332×10^0,6.194119263×10^0,1.010578491×10^1
6.990938750×10^-1,2.220632172×10^0,6.353537750×10^0,9.294921112×10^0
7.090428750×10^-1,2.256557465×10^0,6.368057556×10^0,9.022487640×10^0
7.189908750×10^-1,1.677112427×10^0,6.119274902×10^0,9.500144348×10^0
7.289398750×10^-1,1.062789917×10^0,5.665119324×10^0,1.091859467×10^1
7.388878750×10^-1,5.996530151×10^-1,5.075345764×10^0,1.263193176×10^1
7.488358750×10^-1,1.730401611×10^-1,4.800517273×10^0,1.365325790×10^1
7.587848750×10^-1,-5.463638306×10^-2,4.973856812×10^0,1.356973160×10^1
7.687328750×10^-1,1.234931946×10^-1,5.433850250×10^0,1.254870483×10^1
7.786818750×10^-1,7.439529419×10^-1,6.248755646×10^0,1.110450806×10^1
7.886298750×10^-1,1.859882355×10^0,7.186705170×10^0,1.042836411×10^1
7.985788750×10^-1,3.233426056×10^0,7.949967957×10^0,1.076815750×10^1
8.085268750×10^-1,4.715793457×10^0,8.433462524×10^0,1.231683701×10^1
8.184758750×10^-1,5.977669373×10^0,8.570427704×10^0,1.538006699×10^1
8.284238750×10^-1,7.152276764×10^0,8.071365509×10^0,1.852966736×10^1
8.383728750×10^-1,7.648943939×10^0,7.465275879×10^0,1.986174728×10^1
8.483208750×10^-1,7.138355713×10^0,7.025191040×10^0,1.921808578×10^1
8.582688750×10^-1,6.340365143×10^0,6.656956787×10^0,1.701092560×10^1
8.682178750×10^-1,5.412295074×10^0,6.572382660×10^0,1.413241150×10^1
8.781658750×10^-1,4.499343567×10^0,6.810088348×10^0,1.180789536×10^1
8.881148750×10^-1,3.991898804×10^0,6.981332245×10^0,1.044078827×10^1
8.980628750×10^-1,3.833378448×10^0,6.758595428×10^0,9.879455566×10^0
9.080118750×10^-1,3.821553040×10^0,6.046975250×10^0,1.021475830×10^1
9.179598750×10^-1,3.920497284×10^0,5.105882263×10^0,1.071666458×10^1
9.279078750×10^-1,4.640500031×10^0,4.371210022×10^0,1.036594391×10^1
9.378568750×10^-1,5.159321136×10^0,3.857178955×10^0,9.428593140×10^0
9.478048750×10^-1,5.834117889×10^0,3.643573151×10^0,7.987090759×10^0
9.577538750×10^-1,6.169420624×10^0,3.749852142×10^0,6.324348450×10^0
9.677018750×10^-1,5.616320801×10^0,3.463946686×10^0,4.777315521×10^0
9.776508750×10^-1,5.088817749×10^0,3.052751770×10^0,3.271446991×10^0
9.875988750×10^-1,4.577032013×10^0,2.913241882×10^0,1.950893097×10^0
9.975478750×10^-1,4.145629120×10^0,3.022814026×10^0,1.003513184×10^0
1.007495875×10^0,4.298461304×10^0,3.188818817×10^0,2.824626160×10^-1
1.017444875×10^0,4.768633575×10^0,3.281775513×10^0,-1.935475159×10^-1
1.027392875×10^0,5.488786011×10^0,3.182681580×10^0,-3.659889221×10^-1
1.037340875×10^0,6.445596313×10^0,2.863395538×10^0,-1.583706665×10^-1
1.047289875×10^0,7.135212250×10^0,2.272125092×10^0,6.929090881×10^-1
1.057237875×10^0,8.047265625×10^0,1.280886383×10^0,2.502795410×10^0
1.067186875×10^0,8.505462799×10^0,7.785310364×10^-1,4.267775116×10^0
1.077134875×10^0,8.234825592×10^0,8.433462524×10^-1,4.990771637×10^0
1.087083875×10^0,7.785160675×10^0,1.029708710×10^0,4.940027161×10^0
1.097031875×10^0,7.451055450×10^0,1.469344482×10^0,4.417763214×10^0
1.106980875×10^0,7.141499176×10^0,2.141147461×10^0,3.793710938×10^0
1.116928875×10^0,7.144942017×10^0,2.823578339×10^0,3.551664276×10^0
1.126876875×10^0,7.664661255×10^0,3.672912140×10^0,3.456911316×10^0
1.136825875×10^0,7.256909180×10^0,4.437671814×10^0,3.567082214×10^0
1.146773875×10^0,5.422473907×10^0,4.720284119×10^0,4.817132721×10^0
1.156722875×10^0,3.871399384×10^0,3.961511993×10^0,6.882986755×10^0
1.166670875×10^0,3.034489746×10^0,3.401676178×10^0,9.263785858×10^0
1.176619875×10^0,1.562899933×10^0,3.739822998×10^0,1.078626984×10^1
1.186567875×10^0,-9.668394470×10^-1,4.370461578×10^0,1.097727264×10^1
1.196515875×10^0,-1.781146088×10^0,4.809348907×10^0,1.075603271×10^1
1.206464875×10^0,-1.596579895×10^0,5.520819397×10^0,1.026235931×10^1
1.216413667×10^0,-1.711091766×10^0,6.200256500×10^0,9.901010742×10^0
1.226362667×10^0,-1.226998444×10^0,6.800957336×10^0,9.736203461×10^0
1.236310667×10^0,-1.254391479×10^0,7.517217865×10^0,9.633067932×10^0
1.246259667×10^0,-8.460406494×10^-1,6.984775085×10^0,9.709558868×10^0
1.256207667×10^0,-6.514453125×10^-1,5.770051117×10^0,9.972262573×10^0
1.266156667×10^0,-6.411167908×10^-1,4.674928436×10^0,1.009605515×10^1
1.276104667×10^0,-2.688409424×10^-1,3.440295868×10^0,1.093506042×10^1
1.286052667×10^0,1.347198486×10^-1,2.693798218×10^0,1.191147995×10^1
1.296001667×10^0,4.215234375×10^-1,2.221979370×10^0,1.230141907×10^1
1.305949667×10^0,1.098116455×10^0,2.099234619×10^0,1.154668854×10^1
1.315898667×10^0,2.081421661×10^0,2.289189606×10^0,1.019410126×10^1
1.325846667×10^0,2.546953583×10^0,2.749183044×10^0,8.903185730×10^0
1.335795667×10^0,2.439327393×10^0,2.873574371×10^0,8.337212677×10^0
1.345743667×10^0,2.321672058×10^0,2.946023712×10^0,8.526718597×10^0
1.355692667×10^0,1.593735809×10^0,3.198847961×10^0,9.177116089×10^0
1.365640667×10^0,1.187929688×10^0,2.997217255×10^0,9.910890198×10^0
1.375588667×10^0,1.708696747×10^0,2.550695801×10^0,1.157288406×10^1
1.385537667×10^0,1.873054962×10^0,2.357148285×10^0,1.272414001×10^1
1.395485667×10^0,1.183588715×10^0,2.576442261×10^0,1.243404327×10^1
1.405434667×10^0,-5.310955811×10^-1,2.936593323×10^0,1.102487366×10^1
1.415382667×10^0,-2.554288330×10^0,2.561772766×10^0,8.935668182×10^0
1.425331667×10^0,-2.440524902×10^0,3.012485504×10^0,6.425388336×10^0
1.435279667×10^0,-3.365451508×10^0,3.885320435×10^0,4.197421417×10^0
1.445228667×10^0,-4.110302582×10^0,3.772006073×10^0,3.159479828×10^0
1.455176667×10^0,-3.685935059×10^0,3.540886688×10^0,3.360062714×10^0
1.465124667×10^0,-3.354374542×10^0,3.911665649×10^0,3.719465332×10^0
1.475073667×10^0,-3.830833740×10^0,4.810995483×10^0,4.862039337×10^0
1.485021667×10^0,-4.304897919×10^0,5.779631195×10^0,5.589077454×10^0
1.494970667×10^0,-6.731052704×10^0,6.341862030×10^0,6.193670197×10^0
1.504918667×10^0,-7.648195496×10^0,5.550308075×10^0,6.986870728×10^0
1.514867667×10^0,-5.524561615×10^0,4.499193878×10^0,7.805668030×10^0
1.524815667×10^0,-2.601290588×10^0,3.966601410×10^0,8.935518494×10^0
1.534763667×10^0,-5.313949585×10^-1,4.325105896×10^0,1.107921066×10^1
1.544712667×10^0,-4.656816101×10^-1,5.347180481×10^0,1.295510971×10^1
1.554660667×10^0,-2.085612946×10^0,5.887556763×10^0,1.410636566×10^1
1.564609667×10^0,-3.800147552×10^0,5.924080811×10^0,1.454689957×10^1
1.574557667×10^0,-4.217928772×10^0,5.384452972×10^0,1.354817642×10^1
1.584506667×10^0,-4.053271179×10^0,4.427043915×10^0,1.177765823×10^1
1.594454667×10^0,-2.117346954×10^0,4.039200439×10^0,9.384734344×10^0
1.604403667×10^0,-1.826052704×10^0,4.827910309×10^0,8.097860413×10^0
1.614351667×10^0,-1.325792999×10^0,5.751340027×10^0,8.638985138×10^0
1.624299667×10^0,6.162684631×10^-1,6.286327515×10^0,9.389674072×10^0
1.634248667×10^0,1.771116943×10^0,7.222331085×10^0,1.053584061×10^1
1.644196667×10^0,2.805466003×10^0,8.931177521×10^0,1.290406586×10^1
1.654145667×10^0,2.859503632×10^0,9.029672699×10^0,1.476379852×10^1
1.664093667×10^0,2.862198029×10^0,6.535559235×10^0,1.448852097×10^1
1.674042667×10^0,2.530038757×10^0,5.011129303×10^0,1.410771286×10^1
1.683990667×10^0,1.958976288×10^0,4.139192505×10^0,1.253268814×10^1
1.693939667×10^0,1.829944611×10^0,3.437451782×10^0,1.055230637×10^1
1.703887667×10^0,1.100511475×10^0,3.256627808×10^0,9.108558655×10^0
1.713835667×10^0,8.011340332×10^-1,2.839445343×10^0,7.887398071×10^0
1.723784667×10^0,1.162183228×10^0,2.465073853×10^0,7.085964661×10^0
1.733732667×10^0,1.494941254×10^0,3.081492004×10^0,6.246959381×10^0
1.743681667×10^0,1.978286133×10^0,4.442910919×10^0,5.722300415×10^0
1.753629667×10^0,5.505850525×10^0,5.296436005×10^0,6.030210114×10^0
1.763578667×10^0,7.344028015×10^0,6.158343658×10^0,6.438111877×10^0
1.773526667×10^0,7.289241943×10^0,5.733078003×10^0,6.723418579×10^0
1.783475667×10^0,4.905000000×10^0,4.188589783×10^0,6.997798004×10^0
1.793423667×10^0,1.605710907×10^0,2.633922729×10^0,6.477779388×10^0
1.803371667×10^0,-2.409988403×10^-2,1.479523315×10^0,5.828579407×10^0
1.813320667×10^0,-6.364764404×10^-1,6.768923950×10^-1,5.739813995×10^0
1.823268667×10^0,-2.896476746×10^-1,3.767665100×10^-1,5.789959717×10^0
1.833217667×10^0,-1.137634277×10^-2,5.661227417×10^-1,5.640121307×10^0
1.843165667×10^0,5.783972168×10^-1,1.016236725×10^0,5.374274139×10^0
1.853114667×10^0,1.477727051×10^0,1.628313904×10^0,5.181026001×10^0
1.863062667×10^0,1.905238037×10^0,2.550695801×10^0,4.809049530×10^0
1.873010667×10^0,1.110091553×10^0,5.495671692×10^0,5.040468292×10^0
1.882959667×10^0,6.834786987×10^-1,8.066425781×10^0,4.183051300×10^0
1.892907667×10^0,1.569186859×10^0,9.068442078×10^0,4.471501465×10^0
1.902856667×10^0,2.252815247×10^0,9.471404114×10^0,5.999224548×10^0
1.912804667×10^0,2.598895569×10^0,9.061706085×10^0,7.636220398×10^0
1.922753667×10^0,-8.726852417×10^-1,7.682623901×10^0,7.810757446×10^0
1.932701667×10^0,-4.359234924×10^0,7.663912811×10^0,1.257579849×10^1
1.942650667×10^0,-4.417763214×10^0,7.569459229×10^0,1.664897827×10^1
1.952598667×10^0,-1.276994476×10^0,6.769672394×10^0,1.639944717×10^1
1.962546667×10^0,4.162993011×10^0,5.854026489×10^0,1.566462524×10^1
1.972495667×10^0,7.973768463×10^0,6.550977173×10^0,1.467593124×10^1
1.982443667×10^0,1.000504440×10^1,7.889344025×10^0,1.352841751×10^1
1.992392667×10^0,9.601184235×10^0,8.523724823×10^0,1.159967834×10^1
2.002340667×10^0,6.595584412×10^0,7.154821472×10^0,8.491841125×10^0
2.012289667×10^0,1.411414948×10^0,6.878945160×10^0,5.289849701×10^0
2.022237667×10^0,-4.804109802×10^0,7.648794250×10^0,2.186353455×10^0
2.032185667×10^0,-7.119045868×10^0,8.243058472×10^0,-1.666035461×10^-1
2.042134667×10^0,-1.011611343×10^1,8.042475586×10^0,6.677613831×10^-1
2.052082667×10^0,-1.226399689×10^1,7.201374664×10^0,2.248025208×10^0
