"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.799333333×10^-3,-7.381387521×10^-3,-5.490702018×10^-2,-5.424987525×10^-2
1.774733333×10^-2,6.976069510×10^-2,3.204527497×10^-2,-1.574505270×10^-1
2.769633333×10^-2,1.417001486×10^-1,1.389671862×10^-1,-2.593278885×10^-1
3.764433333×10^-2,2.033088356×10^-1,2.765108943×10^-1,-3.423355222×10^-1
4.759233333×10^-2,2.637708485×10^-1,3.960303962×10^-1,-4.240639210×10^-1
5.754033333×10^-2,3.249979913×10^-1,5.412992835×10^-1,-5.332673192×10^-1
6.748833333×10^-2,5.113638043×10^-1,8.658118248×10^-1,-7.256801724×10^-1
7.743733333×10^-2,7.209389806×10^-1,1.202777028×10^0,-8.319762945×10^-1
8.738533333×10^-2,8.157576919×10^-1,1.436815381×10^0,-9.059408307×10^-1
9.733333333×10^-2,8.656348586×10^-1,1.543593168×10^0,-1.017070055×10^0
1.072813333×10^-1,9.318594337×10^-1,1.665031672×10^0,-1.110634685×10^0
1.172293333×10^-1,1.042492270×10^0,1.831349015×10^0,-1.188842893×10^0
1.271783333×10^-1,1.217719436×10^0,2.005070686×10^0,-1.232551575×10^0
1.371263333×10^-1,1.429750681×10^0,2.147180319×10^0,-1.327256441×10^0
1.470743333×10^-1,1.682622075×10^0,2.418707848×10^0,-1.465070486×10^0
1.570223333×10^-1,1.972726703×10^0,2.862951994×10^0,-1.588252068×10^0
1.669703333×10^-1,2.259515047×10^0,3.297223568×10^0,-1.762638450×10^0
1.769193333×10^-1,2.486651182×10^0,3.538725138×10^0,-2.030625820×10^0
1.868673333×10^-1,2.658383608×10^0,3.480687380×10^0,-2.344303131×10^0
1.968153333×10^-1,2.868659973×10^0,3.029084682×10^0,-2.578727007×10^0
2.067633333×10^-1,2.990321159×10^0,2.491565228×10^0,-2.649056435×10^0
2.167113333×10^-1,2.911199570×10^0,2.327054262×10^0,-2.632665396×10^0
2.266593333×10^-1,2.958736897×10^0,2.219978333×10^0,-2.600905418×10^0
2.366083333×10^-1,3.127544880×10^0,1.895324707×10^0,-2.547894239×10^0
2.465563333×10^-1,3.264517546×10^0,1.550624847×10^0,-2.447963715×10^0
2.565043333×10^-1,3.323363543×10^0,1.252599239×10^0,-2.325842381×10^0
2.664523333×10^-1,3.204206467×10^0,1.024431825×10^0,-2.259577036×10^0
2.764003333×10^-1,2.530335188×10^0,5.577234179×10^-2,-2.191784382×10^0
2.863493333×10^-1,1.966029167×10^0,-5.342283845×10^-1,-2.129720449×10^0
2.962973333×10^-1,1.704966307×10^0,-7.220095396×10^-1,-2.005524158×10^0
3.062453333×10^-1,1.607716680×10^0,-6.178514361×10^-1,-1.865537167×10^0
3.161933333×10^-1,1.599005580×10^0,-5.144885778×10^-1,-1.660213590×10^0
3.261413333×10^-1,1.650588393×10^0,-4.442810416×10^-1,-1.403117657×10^0
3.360903333×10^-1,1.722712398×10^0,-2.662774622×10^-1,-1.098085403×10^0
3.460383333×10^-1,1.801739573×10^0,-3.006548807×10^-2,-8.285759091×10^-1
3.559863333×10^-1,1.928264618×10^0,1.648159698×10^-2,-7.564473748×10^-1
3.659343333×10^-1,2.062475920×10^0,9.470902383×10^-2,-8.709217310×10^-1
3.758823333×10^-1,2.136014700×10^0,4.088919759×10^-1,-1.010322571×10^0
3.858313333×10^-1,2.121803761×10^0,7.038311958×10^-1,-1.105147123×10^0
3.957793333×10^-1,2.021009684×10^0,5.841057897×10^-1,-1.158871293×10^0
4.057273333×10^-1,1.753896832×10^0,1.382505000×10^-1,-1.076574564×10^0
4.156753333×10^-1,1.335618854×10^0,-3.260324895×10^-1,-9.017212987×10^-1
4.256233333×10^-1,9.927113652×10^-1,-6.013692021×10^-1,-6.410263181×10^-1
4.355713333×10^-1,7.114447951×10^-1,-7.704281807×10^-1,-3.800784647×10^-1
4.455203333×10^-1,4.718322158×10^-1,-1.012948155×10^0,-1.667717695×10^-1
4.554683333×10^-1,4.079812467×10^-1,-1.301241875×10^0,-1.343163699×10^-1
4.654163333×10^-1,4.465206563×10^-1,-1.305645704×10^0,-6.936401129×10^-2
4.753643333×10^-1,5.420604348×10^-1,-9.428131580×10^-1,1.653146464×10^-3
4.853123333×10^-1,7.670083642×10^-1,-4.020543098×10^-1,1.222389415×10^-1
4.952613333×10^-1,9.017501473×10^-1,-4.810133576×10^-2,2.284351289×10^-1
5.052093333×10^-1,9.458797574×10^-1,3.704684973×10^-2,1.535148174×10^-1
5.151573333×10^-1,1.064301848×10^0,-3.837247193×10^-1,1.834856272×10^-1
5.251053333×10^-1,8.480411768×10^-1,-1.271796465×10^0,3.285147250×10^-1
5.350533333×10^-1,4.501605928×10^-1,-2.183222055×10^0,1.898398101×10^-1
5.450023333×10^-1,3.758341670×10^-1,-2.606280088×10^0,-1.942106485×10^-1
5.549503333×10^-1,6.613538414×10^-2,-2.416164875×10^0,-1.156103332×10^-2
5.648983333×10^-1,-2.251608968×10^-1,-1.857466340×10^0,3.192525804×10^-1
5.748463333×10^-1,-4.725357592×10^-1,-1.319149137×10^0,6.845977902×10^-1
5.847943333×10^-1,-5.506138206×10^-1,-6.588563919×10^-1,1.019808888×10^0
5.947433333×10^-1,-5.393493772×10^-1,6.274639815×10^-2,1.550256848×10^0
6.046913333×10^-1,-5.106362104×10^-1,6.038919091×10^-1,1.924598455×10^0
6.146393333×10^-1,-4.630425870×10^-1,1.061668634×10^0,2.146837234×10^0
6.245873333×10^-1,-4.751381278×10^-1,1.404531956×10^0,2.199402809×10^0
6.345353333×10^-1,-5.898462534×10^-1,1.413843751×10^0,2.165535688×10^0
6.444833333×10^-1,-7.593418360×10^-1,1.052986264×10^0,2.135118484×10^0
6.544323333×10^-1,-1.005384922×10^0,3.932716250×10^-1,2.091338396×10^0
6.643803333×10^-1,-1.437778473×10^0,-5.168309212×10^-1,2.080138683×10^0
6.743283333×10^-1,-1.764965296×10^0,-1.023512244×10^0,2.089350939×10^0
6.842763333×10^-1,-1.999409199×10^0,-9.343948364×10^-1,1.944855690×10^0
6.942243333×10^-1,-2.303386688×10^0,-5.213145614×10^-1,1.878674984×10^0
7.041733333×10^-1,-2.404674768×10^0,8.603530377×10^-2,1.640169501×10^0
7.141213333×10^-1,-2.339059591×10^0,5.043902397×10^-1,1.285976768×10^0
7.240693333×10^-1,-1.722198248×10^0,8.740545511×10^-1,1.211374640×10^0
7.340173333×10^-1,-9.328668714×10^-1,6.895489097×10^-1,1.130425453×10^0
7.439653333×10^-1,-6.208453178×10^-1,-2.394881696×10^-1,1.106842399×10^0
7.539143333×10^-1,-5.576866865×10^-1,-1.312871099×10^0,1.090190649×10^0
7.638623333×10^-1,-6.263080835×10^-1,-1.909034014×10^0,9.389004707×10^-1
7.738103333×10^-1,-6.841427684×10^-1,-1.871613145×10^0,6.448911428×10^-1
7.837583333×10^-1,-7.028751969×10^-1,-1.343056560×10^0,2.906217575×10^-1
7.937063333×10^-1,-7.430340648×10^-1,-5.491452813×10^-1,-6.700242311×10^-2
8.036543333×10^-1,-7.647833228×10^-1,2.511311769×10^-1,-4.037985504×10^-1
8.136033333×10^-1,-6.237215400×10^-1,8.298530579×10^-1,-7.682699561×10^-1
8.235513333×10^-1,-1.429711282×10^-1,9.663072824×10^-1,-1.242242694×10^0
8.334993333×10^-1,8.100025058×10^-1,4.172165096×10^-1,-1.677371860×10^0
8.434473333×10^-1,1.939699531×10^0,-6.787408590×10^-1,-1.782220244×10^0
8.533953333×10^-1,2.730720758×10^0,-1.577823758×10^0,-1.532909393×10^0
8.633443333×10^-1,3.020168543×10^0,-1.675319672×10^0,-1.203588486×10^0
8.732923333×10^-1,3.148594618×10^0,-1.255452752×10^0,-1.119673967×10^0
8.832403333×10^-1,3.330070734×10^0,-8.087435365×10^-1,-1.257923961×10^0
8.931883333×10^-1,3.505566359×10^0,-5.596578121×10^-1,-1.367703676×10^0
9.031363333×10^-1,3.552622318×10^0,-5.082657337×10^-1,-1.385131836×10^0
9.130853333×10^-1,3.456863880×10^0,-6.104205847×10^-1,-1.439543009×10^0
9.230333333×10^-1,3.407315016×10^0,-9.011549354×10^-1,-1.678555369×10^0
9.329813333×10^-1,3.418048143×10^0,-1.009578705×10^0,-1.983801007×10^0
9.429293333×10^-1,3.495869160×10^0,-7.789947391×10^-1,-2.212885141×10^0
9.528764583×10^-1,3.550914526×10^0,-2.133480757×10^-1,-2.368643999×10^0
9.628244583×10^-1,3.631657124×10^0,5.018419623×10^-1,-2.303369284×10^0
9.727734583×10^-1,4.047673225×10^0,7.436932325×10^-1,-1.920289516×10^0
9.827214583×10^-1,4.635919571×10^0,3.184263408×10^-1,-1.223864913×10^0
9.926694583×10^-1,4.934793472×10^0,-5.412042141×10^-1,-8.144578338×10^-1
1.002617458×10^0,4.700061798×10^0,-9.890472293×10^-1,-7.716072798×10^-1
1.012565458×10^0,3.944375515×10^0,-6.443034410×10^-1,-1.116192222×10^0
1.022514458×10^0,1.756635547×10^0,6.423972249×10^-1,-1.833213925×10^0
1.032462458×10^0,1.730015159×10^0,-9.223254398×10^-3,-1.704987764×10^0
1.042410458×10^0,2.455074072×10^0,-7.483156919×10^-1,-1.893027663×10^0
1.052358458×10^0,2.467560530×10^0,-2.845126987×10^-1,-2.197760344×10^0
1.062306458×10^0,2.472197533×10^0,1.726258248×10^-1,-2.187315941×10^0
1.072254458×10^0,2.597552061×10^0,2.102446929×10^-2,-1.956110716×10^0
1.082203458×10^0,2.451075077×10^0,-5.726159811×10^-1,-1.521495342×10^0
1.092151458×10^0,2.142360687×10^0,-1.327046871×10^0,-1.031133413×10^0
1.102099458×10^0,1.835811377×10^0,-1.697853446×10^0,-7.384194732×10^-1
1.112047458×10^0,1.184570193×10^0,-1.195214987×10^0,-5.921930075×10^-1
1.121995458×10^0,-1.395127028×10^-1,1.949556023×10^-1,-6.461057663×10^-1
1.131944458×10^0,-1.828011036×10^0,1.877999067×10^0,-1.264366388×10^0
1.141892458×10^0,-2.974660397×10^0,2.493145466×10^0,-1.829889417×10^0
1.151840458×10^0,-2.453330994×10^0,1.132767081×10^0,-1.729777336×10^0
1.161788458×10^0,-9.070015550×10^-1,2.536330521×10^-1,-1.398581505×10^0
1.171736458×10^0,7.263639569×10^-1,-3.142800033×10^-1,-1.058946848×10^0
1.181685458×10^0,7.813044190×10^-1,-5.101256967×10^-1,-6.785949469×10^-1
1.191633458×10^0,3.347177505×10^-1,-4.368560612×10^-1,-5.214275718×10^-1
1.201581458×10^0,7.512692362×10^-2,-1.544936001×10^-1,-5.775566697×10^-1
1.211529458×10^0,-1.879736185×10^-1,2.964588404×10^-1,-8.016430140×10^-1
1.221477458×10^0,-4.479455650×10^-1,7.794840336×10^-1,-7.025393248×10^-1
1.231425458×10^0,-4.532490969×10^-1,1.289127111×10^0,-1.907114089×10^-1
1.241374458×10^0,-2.315960675×10^-1,1.585664988×10^0,3.766271174×10^-1
1.251322458×10^0,2.595808804×10^-1,1.730291843×10^0,4.269648790×10^-1
1.261270458×10^0,9.391121566×10^-2,8.855140209×10^-1,9.770628810×10^-2
1.271218458×10^0,-1.996853650×10^-1,1.021976396×10^-2,1.242575943×10^-1
1.281166458×10^0,-9.365932643×10^-2,-1.496447325×10^-1,-2.008137107×10^-1
1.291115458×10^0,-9.457777441×10^-2,-9.107086062×10^-2,-5.794728398×10^-1
1.301063458×10^0,-2.567808032×10^-1,-4.909796417×10^-1,-6.665043831×10^-1
1.311011458×10^0,-5.482791066×10^-1,-8.346531987×10^-1,-4.028245211×10^-1
1.320959458×10^0,-1.025653124×10^0,-7.237876654×10^-1,9.090130031×10^-2
1.330907458×10^0,-1.708107352×10^0,-3.616678417×10^-1,7.901740670×10^-1
1.340855458×10^0,-2.376965523×10^0,9.430687129×10^-2,1.681604028×10^0
1.350804458×10^0,-2.834775686×10^0,8.402665854×10^-1,2.620097160×10^0
1.360752458×10^0,-2.877190590×10^0,1.818805933×10^0,3.438598156×10^0
1.370700458×10^0,-2.568237066×10^0,2.418632507×10^0,3.941737890×10^0
1.380648458×10^0,-2.332426786×10^0,2.062222004×10^0,4.304010391×10^0
1.390596458×10^0,-2.339489937×10^0,1.406553030×10^0,4.596202374×10^0
1.400545458×10^0,-2.508341789×10^0,6.539899707×10^-1,4.936060429×10^0
1.410493458×10^0,-2.656645775×10^0,2.304777056×10^-1,5.565258026×10^0
1.420441458×10^0,-2.533720970×10^0,-1.580633670×10^-1,5.965075016×10^0
1.430389458×10^0,-2.064856529×10^0,-2.909179330×10^-1,5.955437183×10^0
1.440337458×10^0,-1.033338666×10^0,3.771354854×10^-1,5.398691654×10^0
1.450286458×10^0,-1.947608143×10^-1,1.406939387×10^0,5.194036484×10^0
1.460234458×10^0,2.136109769×10^-1,1.504628897×10^0,4.726458549×10^0
1.470182458×10^0,5.127749443×10^-1,-1.605086401×10^-2,3.905230284×10^0
1.480130458×10^0,2.804700434×10^-1,-6.211695075×10^-1,3.703057528×10^0
1.490078458×10^0,-4.674194455×10^-1,-6.811243892×10^-1,3.286363840×10^0
1.500026458×10^0,-1.126888156×10^0,-3.997156322×10^-1,2.702878714×10^0
1.509975458×10^0,-1.424015641×10^0,1.729784161×10^-1,2.158051968×10^0
1.519923458×10^0,-1.212864995×10^0,8.147911429×10^-1,1.734271646×10^0
1.529871458×10^0,-7.396790981×10^-1,1.702131271×10^0,1.332061529×10^0
1.539819458×10^0,-2.906554937×10^-1,2.773532391×10^0,9.244766831×10^-1
1.549767458×10^0,2.671062946×10^-1,3.320835590×10^0,4.699054360×10^-1
1.559716458×10^0,1.186804771×10^0,2.725127935×10^0,-2.328508347×10^-2
1.569664458×10^0,1.620348334×10^0,1.800091386×10^0,-4.808415473×10^-1
1.579612458×10^0,1.436563849×10^0,8.299401402×10^-1,-9.119803905×10^-1
1.589560458×10^0,1.147590280×10^0,7.498907298×10^-2,-1.275071859×10^0
1.599508458×10^0,1.146907210×10^0,-2.188372165×10^-1,-1.569184422×10^0
1.609457458×10^0,1.249149442×10^0,5.629484653×10^-1,-1.851345658×10^0
1.619405458×10^0,2.314477921×10^0,2.041048527×10^0,-2.144447565×10^0
1.629353458×10^0,3.018226862×10^0,3.195694208×10^0,-2.288180351×10^0
1.639301458×10^0,3.149203300×10^0,3.395473957×10^0,-2.343248367×10^0
1.649249458×10^0,2.717518806×10^0,1.610701084×10^0,-2.438749075×10^0
1.659197458×10^0,1.689687371×10^0,-2.915201664×10^0,-2.759984970×10^0
1.669146458×10^0,1.330893636×10^0,-7.083956718×10^0,-3.027927399×10^0
1.679094458×10^0,4.204531610×10^-1,-8.653967857×10^0,-3.907962322×10^0
1.689042458×10^0,-2.696268260×10^-1,-8.073603630×10^0,-4.067388535×10^0
1.698990458×10^0,5.614368320×10^-1,-7.970620155×10^0,-2.521010160×10^0
1.708938458×10^0,1.517134070×10^0,-7.717932224×10^0,-1.686026216×10^0
1.718887458×10^0,1.598626256×10^0,-7.023592949×10^0,-1.742723584×10^0
1.728835458×10^0,1.193528056×10^0,-5.628184319×10^0,-1.721558571×10^0
1.738783458×10^0,6.037434340×10^-1,-3.621329784×10^0,-1.451061845×10^0
1.748731458×10^0,1.020457596×10^-1,-1.269044757×10^0,-8.138636947×10^-1
1.758679458×10^0,-2.260756642×10^-1,9.744381905×10^-1,1.201958954×10^-2
