"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.648041664×10^-3,-2.900778353×10^-1,2.326073945×10^-1,7.986971736×10^-1
1.359804167×10^-2,-4.043993652×10^-1,2.645538747×10^-1,8.225377798×10^-1
2.354804167×10^-2,-4.918887019×10^-1,2.810558081×10^-1,8.332892656×10^-1
3.349804167×10^-2,-5.272922516×10^-1,2.849168479×10^-1,8.366315365×10^-1
4.344704167×10^-2,-5.167009234×10^-1,2.959397435×10^-1,8.341028690×10^-1
5.339704167×10^-2,-4.883023500×10^-1,3.132910132×10^-1,8.217404485×10^-1
6.334704167×10^-2,-4.768115282×10^-1,3.232333958×10^-1,8.142700195×10^-1
7.329704166×10^-2,-4.872769415×10^-1,3.088493943×10^-1,8.118178248×10^-1
8.324704166×10^-2,-5.119178891×10^-1,2.544386089×10^-1,8.171421289×10^-1
9.319704166×10^-2,-5.330636501×10^-1,1.243413240×10^-1,8.397355676×10^-1
1.031460417×10^-1,-5.192019343×10^-1,-9.042681754×10^-2,8.852912784×10^-1
1.130960417×10^-1,-4.270541370×10^-1,-3.521202207×10^-1,9.510630965×10^-1
1.230460417×10^-1,-2.455414832×10^-1,-6.050936580×10^-1,1.014320493×10^0
1.329960417×10^-1,6.196209695×10^-3,-8.115517497×10^-1,1.041667223×10^0
1.429460417×10^-1,2.559022605×10^-1,-9.597855806×10^-1,1.008269906×10^0
1.528960417×10^-1,4.345684052×10^-1,-1.024065495×10^0,9.203145504×10^-1
1.628460417×10^-1,5.274354815×10^-1,-9.568570256×10^-1,8.195642233×10^-1
1.727950417×10^-1,5.388284922×10^-1,-7.928169966×10^-1,7.427514791×10^-1
1.827450417×10^-1,4.930630922×10^-1,-5.494368076×10^-1,6.953188777×10^-1
1.926950417×10^-1,4.280542433×10^-1,-2.474553585×10^-1,6.695730090×10^-1
2.026450417×10^-1,3.514167368×10^-1,7.225320488×10^-2,6.407630444×10^-1
2.125950417×10^-1,2.599541843×10^-1,3.515538275×10^-1,6.037384272×10^-1
2.225450417×10^-1,1.749406308×10^-1,5.606963038×10^-1,5.554343462×10^-1
2.324940417×10^-1,1.323582828×10^-1,7.111063004×10^-1,4.972951412×10^-1
2.424440417×10^-1,1.640881151×10^-1,8.253512979×10^-1,4.200102389×10^-1
2.523940417×10^-1,2.861157656×10^-1,9.116057158×10^-1,3.178764284×10^-1
2.623440417×10^-1,4.796867669×10^-1,9.364997745×10^-1,2.023559213×10^-1
2.722940417×10^-1,7.112957239×10^-1,9.084601402×10^-1,7.224879414×10^-2
2.822440417×10^-1,9.383818507×10^-1,8.554672003×10^-1,-5.512475595×10^-2
2.921930417×10^-1,1.162856460×10^0,8.094933033×10^-1,-1.558657438×10^-1
3.021430417×10^-1,1.397799015×10^0,7.893174887×10^-1,-2.041750699×10^-1
3.120931667×10^-1,1.620125055×10^0,8.004924059×10^-1,-2.170336097×10^-1
3.220431667×10^-1,1.827039599×10^0,9.669961929×10^-1,-2.366259992×10^-1
3.319931667×10^-1,2.058173180×10^0,1.258077621×10^0,-2.628781199×10^-1
3.419431667×10^-1,2.238841057×10^0,1.273404956×10^0,-3.175868690×10^-1
3.518931667×10^-1,2.338644028×10^0,1.228291869×10^0,-3.718844354×10^-1
3.618421667×10^-1,2.366470337×10^0,1.125403047×10^0,-4.278644919×10^-1
3.717921667×10^-1,2.358309507×10^0,1.001270175×10^0,-5.011597276×10^-1
3.817421667×10^-1,2.299400330×10^0,9.247201681×10^-1,-5.681279302×10^-1
3.916921667×10^-1,2.088975906×10^0,9.810169935×10^-1,-6.182904243×10^-1
4.016421667×10^-1,1.677528262×10^0,1.161428452×10^0,-6.483761072×10^-1
4.115921667×10^-1,1.209454060×10^0,1.241104364×10^0,-6.744108796×10^-1
4.215421667×10^-1,8.558862805×10^-1,1.191240072×10^0,-7.892452478×10^-1
4.314911667×10^-1,6.286914945×10^-1,1.233879685×10^0,-9.940492511×10^-1
4.414411667×10^-1,4.886293709×10^-1,1.392142296×10^0,-1.236144662×10^0
4.513911667×10^-1,4.202727079×10^-1,1.559028506×10^0,-1.478244901×10^0
4.613411667×10^-1,3.945165873×10^-1,1.661715984×10^0,-1.687275290×10^0
4.712911667×10^-1,3.860312402×10^-1,1.678778052×10^0,-1.837205887×10^0
4.812411667×10^-1,4.412092865×10^-1,1.566393733×10^0,-1.926778555×10^0
4.911901667×10^-1,6.133731008×10^-1,1.376529217×10^0,-1.959428430×10^0
5.011401667×10^-1,9.225043654×10^-1,1.199817061×10^0,-1.959640026×10^0
5.110901667×10^-1,1.291069984×10^0,1.162646532×10^0,-1.969470263×10^0
5.210401667×10^-1,1.561715126×10^0,1.182533622×10^0,-1.949344516×10^0
5.309901667×10^-1,1.648195624×10^0,1.128579855×10^0,-1.842196226×10^0
5.409401667×10^-1,1.536968112×10^0,1.058266282×10^0,-1.659345984×10^0
5.508901667×10^-1,1.318795085×10^0,9.126124978×10^-1,-1.420829058×10^0
5.608391667×10^-1,1.074270964×10^0,6.967064142×10^-1,-1.178648949×10^0
5.707891667×10^-1,8.805077672×10^-1,4.161269367×10^-1,-9.540438056×10^-1
5.807391667×10^-1,8.049911857×10^-1,1.197944060×10^-1,-7.940975428×10^-1
5.906891667×10^-1,8.373808265×10^-1,-1.117072627×10^-1,-6.846469641×10^-1
6.006391667×10^-1,9.153500199×10^-1,-2.603446245×10^-1,-6.012418270×10^-1
6.105891667×10^-1,9.699251652×10^-1,-3.298859000×10^-1,-5.436946750×10^-1
6.205381667×10^-1,9.834814072×10^-1,-3.583054841×10^-1,-5.460056663×10^-1
6.304881667×10^-1,9.278413653×10^-1,-3.399195671×10^-1,-5.924178958×10^-1
6.404381667×10^-1,8.176648021×10^-1,-2.600951493×10^-1,-6.576546431×10^-1
6.503881667×10^-1,6.857472062×10^-1,-1.672515124×10^-1,-7.164947987×10^-1
6.603381667×10^-1,5.641728044×10^-1,-8.982595056×10^-2,-7.403665185×10^-1
6.702881667×10^-1,4.829442799×10^-1,-1.130968099×10^-3,-7.008039355×10^-1
6.802381667×10^-1,4.432401359×10^-1,1.066913381×10^-1,-5.998620391×10^-1
6.901871667×10^-1,4.054892957×10^-1,2.511510551×10^-1,-4.497742355×10^-1
7.001371667×10^-1,2.996986806×10^-1,3.823388815×10^-1,-2.710585594×10^-1
7.100871667×10^-1,1.449077576×10^-1,5.638405085×10^-1,-5.663201958×10^-2
7.200371667×10^-1,2.728832513×10^-2,7.939000726×10^-1,1.796311289×10^-1
7.299871667×10^-1,-2.456874773×10^-2,1.111574411×10^0,3.626137376×10^-1
7.399371667×10^-1,-1.979129948×10^-2,1.385766387×10^0,5.086717606×10^-1
7.498861667×10^-1,4.693766683×10^-2,1.623387218×10^0,6.346171498×10^-1
7.598361667×10^-1,1.522361934×10^-1,1.745594621×10^0,5.965445042×10^-1
7.697861667×10^-1,2.584188282×10^-1,1.659403324×10^0,4.050389826×10^-1
7.797361667×10^-1,3.793314397×10^-1,1.479050517×10^0,1.154147834×10^-1
7.896861667×10^-1,2.491726428×10^-1,1.186125517×10^0,-9.463671595×10^-2
7.996361667×10^-1,8.039081842×10^-2,1.128756762×10^0,-1.816806346×10^-1
8.095861667×10^-1,4.487623647×10^-2,1.327736378×10^0,-1.649469286×10^-1
8.195351667×10^-1,1.062444299×10^-1,1.646559477×10^0,-1.162754595×10^-1
8.294851667×10^-1,2.374647856×10^-1,1.990298748×10^0,-9.302926064×10^-2
8.394351667×10^-1,3.544712365×10^-1,2.235616684×10^0,-1.080835760×10^-1
8.493851667×10^-1,4.775947630×10^-1,2.460795641×10^0,-1.905267835×10^-1
