"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.189583331×10^-4,-1.549278259×10^-1,4.735252991×10^0,8.029452667×10^0
1.026895833×10^-2,-1.058299255×10^-1,4.747677155×10^0,7.872878265×10^0
2.021795834×10^-2,-7.110214233×10^-2,4.804259491×10^0,7.921826477×10^0
3.016695834×10^-2,-1.901046753×10^-2,4.921465759×10^0,8.131390686×10^0
4.011595833×10^-2,1.056802368×10^-1,5.045258331×10^0,8.484057312×10^0
5.006595833×10^-2,1.990859985×10^-1,5.101241913×10^0,8.785829773×10^0
6.001495833×10^-2,3.138972473×10^-1,5.123096466×10^0,8.959917755×10^0
6.996395833×10^-2,3.968247986×10^-1,5.098846893×10^0,9.027427368×10^0
7.991295834×10^-2,3.870950317×10^-1,5.094954987×10^0,8.992998962×10^0
8.986195833×10^-2,2.589614868×10^-1,5.070555725×10^0,8.849896545×10^0
9.981195833×10^-2,3.592529297×10^-2,4.987179108×10^0,8.646918640×10^0
1.097609583×10^-1,-1.200503540×10^-1,4.882846069×10^0,8.460406494×10^0
1.197099583×10^-1,-1.657054138×10^-1,4.819078674×10^0,8.342152405×10^0
1.296589583×10^-1,-2.113604736×10^-1,4.826862488×10^0,8.366551666×10^0
1.396079583×10^-1,-3.191363525×10^-1,4.843028870×10^0,8.431366882×10^0
1.495579583×10^-1,-4.334985352×10^-1,4.812791748×10^0,8.483308868×10^0
1.595069583×10^-1,-5.331912231×10^-1,4.756059723×10^0,8.486302643×10^0
1.694559583×10^-1,-4.388873291×10^-1,4.670587463×10^0,8.546327820×10^0
1.794049583×10^-1,2.706372070×10^-1,4.476740570×10^0,8.754395142×10^0
1.893539583×10^-1,-1.631607056×10^-1,4.427942047×10^0,9.096134491×10^0
1.993039583×10^-1,-3.947291565×10^-1,4.573140106×10^0,9.323811035×10^0
2.092529583×10^-1,-4.426295471×10^-1,4.632416840×10^0,9.306746521×10^0
2.192019583×10^-1,-4.840933228×10^-1,4.637057190×10^0,9.223519592×10^0
2.291509583×10^-1,-3.659889221×10^-1,4.648283844×10^0,9.147777100×10^0
2.391009583×10^-1,-2.341131592×10^-1,4.673730927×10^0,9.100325775×10^0
2.490499583×10^-1,-1.508862305×10^-1,4.603826294×10^0,9.084009705×10^0
2.589989583×10^-1,-6.735992432×10^-2,4.470902710×10^0,9.039552155×10^0
2.689479583×10^-1,1.682501221×10^-1,4.434228973×10^0,8.921298065×10^0
2.788969583×10^-1,3.632945251×10^-1,4.434079285×10^0,8.771459656×10^0
2.888469583×10^-1,4.975653076×10^-1,4.384981384×10^0,8.572373657×10^0
2.987959583×10^-1,6.411167908×10^-1,4.293671265×10^0,8.372090149×10^0
3.087449583×10^-1,8.400531006×10^-1,4.154610443×10^0,8.185428314×10^0
3.186939583×10^-1,9.624984741×10^-1,4.002227325×10^0,7.940537567×10^0
3.286429583×10^-1,1.015937347×10^0,3.930975494×10^0,7.636370087×10^0
3.385929583×10^-1,9.129515076×10^-1,3.950285339×10^0,7.421716461×10^0
3.485419583×10^-1,6.936575317×10^-1,3.933071136×10^0,7.423812103×10^0
3.584909583×10^-1,6.236032104×10^-1,3.926185455×10^0,7.517517242×10^0
3.684399583×10^-1,6.879693604×10^-1,3.900738373×10^0,7.650740204×10^0
3.783889583×10^-1,7.890092468×10^-1,3.895050201×10^0,7.720794525×10^0
3.883389583×10^-1,9.139993286×10^-1,3.921096039×10^0,7.839946747×10^0
3.982879583×10^-1,1.051862640×10^0,3.935466156×10^0,8.006699982×10^0
4.082369583×10^-1,1.274449768×10^0,3.919748840×10^0,8.211623840×10^0
4.181859583×10^-1,1.507814484×10^0,3.850742340×10^0,8.389304352×10^0
4.281349583×10^-1,1.528022461×10^0,3.757486267×10^0,8.523275757×10^0
4.380849583×10^-1,1.321302338×10^0,3.690874786×10^0,8.759484558×10^0
4.480339583×10^-1,9.681866455×10^-1,3.609743500×10^0,9.261091461×10^0
4.579837083×10^-1,5.170248413×10^-1,3.311114502×10^0,1.042821442×10^1
4.679327083×10^-1,1.049018555×10^0,3.385210419×10^0,1.000549347×10^1
4.778817083×10^-1,9.937834167×10^-1,3.528612213×10^0,1.003737717×10^1
4.878317083×10^-1,8.756790161×10^-1,3.774550781×10^0,1.034109558×10^1
4.977807083×10^-1,9.674382019×10^-1,4.067790985×10^0,1.067115921×10^1
5.077297083×10^-1,1.054856415×10^0,4.195924530×10^0,1.095362183×10^1
5.176787083×10^-1,1.232836304×10^0,4.348157959×10^0,1.094449081×10^1
5.276287083×10^-1,1.398392029×10^0,4.518952789×10^0,1.061966629×10^1
5.375777083×10^-1,1.279988251×10^0,4.676874390×10^0,1.009351044×10^1
5.475267083×10^-1,8.855584717×10^-1,5.035977631×10^0,9.681866455×10^0
5.574757083×10^-1,4.574487305×10^-1,5.503006439×10^0,9.347761230×10^0
