"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-4.222499992×10^-4,2.471061401×10^0,5.736221466×10^0,4.680766296×10^0
9.527749993×10^-3,2.567460938×10^0,5.698499908×10^0,4.771926727×10^0
1.947775000×10^-2,2.729424133×10^0,5.742358704×10^0,4.727918243×10^0
2.942675000×10^-2,2.863844604×10^0,5.794151001×10^0,4.675377502×10^0
3.937674999×10^-2,2.979254608×10^0,5.908064117×10^0,4.555476837×10^0
4.932675000×10^-2,3.045566711×10^0,5.959107971×10^0,4.248016205×10^0
5.927674999×10^-2,3.037184143×10^0,6.044280853×10^0,3.861070862×10^0
6.922574999×10^-2,3.090772705×10^0,6.232589264×10^0,3.618275757×10^0
7.917575000×10^-2,3.071762238×10^0,6.339916077×10^0,3.487747192×10^0
8.912574999×10^-2,3.040926361×10^0,6.461613007×10^0,3.459605713×10^0
9.907449999×10^-2,3.090173950×10^0,6.606661377×10^0,3.576811981×10^0
1.090245000×10^-1,3.115471344×10^0,6.705755310×10^0,3.855083313×10^0
1.189745000×10^-1,3.140169983×10^0,6.760242004×10^0,4.208648071×10^0
1.289235000×10^-1,3.219654694×10^0,6.830595703×10^0,4.625531158×10^0
1.388735000×10^-1,3.302133179×10^0,6.966363373×10^0,5.101990356×10^0
1.488235000×10^-1,3.389850769×10^0,7.132068787×10^0,5.441933441×10^0
1.587735000×10^-1,3.461551666×10^0,7.311994629×10^0,5.723497925×10^0
1.687225000×10^-1,3.576512604×10^0,7.465874634×10^0,6.045029297×10^0
1.786725000×10^-1,3.495531006×10^0,7.605833588×10^0,6.289021912×10^0
1.886225000×10^-1,3.320245514×10^0,7.802823944×10^0,6.364614716×10^0
1.985715000×10^-1,3.181933136×10^0,7.916886749×10^0,6.334227905×10^0
2.085215000×10^-1,3.194806366×10^0,8.048163757×10^0,6.419400787×10^0
2.184715000×10^-1,3.241658936×10^0,8.247848511×10^0,6.548731842×10^0
2.284215000×10^-1,3.229384460×10^0,8.338559875×10^0,6.620732117×10^0
2.383705000×10^-1,3.021915894×10^0,8.309071198×10^0,6.707850952×10^0
2.483205000×10^-1,2.948718109×10^0,8.236771545×10^0,6.841672668×10^0
2.582705000×10^-1,2.955753479×10^0,8.193810883×10^0,7.010970612×10^0
2.682195000×10^-1,2.872975616×10^0,8.047115936×10^0,7.261549530×10^0
2.781695000×10^-1,2.674787750×10^0,7.972720642×10^0,7.519463196×10^0
2.881195000×10^-1,2.479743347×10^0,8.061486053×10^0,7.584428101×10^0
2.980685000×10^-1,2.433489532×10^0,8.160280609×10^0,7.494315491×10^0
3.080185000×10^-1,2.522704010×10^0,8.228239288×10^0,7.444169769×10^0
3.179685000×10^-1,2.636617126×10^0,8.314609680×10^0,7.460635529×10^0
3.279185000×10^-1,2.695744171×10^0,8.384065247×10^0,7.501799927×10^0
3.378675000×10^-1,2.754871216×10^0,8.245303802×10^0,7.597001953×10^0
3.478175000×10^-1,2.832110596×10^0,8.003406830×10^0,7.868387604×10^0
3.577675000×10^-1,3.043171692×10^0,7.673492889×10^0,8.309969330×10^0
3.677165000×10^-1,3.259022827×10^0,7.314838715×10^0,8.745413818×10^0
