"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.002112501×10^-2,1.255895048×10^-1,1.020639539×10^-1,-4.285286367×10^-1
1.997112500×10^-2,8.913296461×10^-2,5.524984375×10^-2,-4.611158669×10^-1
2.992112501×10^-2,5.066477507×10^-2,-6.733386219×10^-2,-4.914224744×10^-1
3.987112500×10^-2,2.716264315×10^-2,-2.295152992×10^-1,-5.580283999×10^-1
4.982112501×10^-2,-1.529772300×10^-2,-3.218722641×10^-1,-6.083108187×10^-1
5.977112500×10^-2,-5.754877254×10^-2,-3.266281188×10^-1,-6.128011346×10^-1
6.972112501×10^-2,-1.034551784×10^-1,-3.684941530×10^-1,-7.025328875×10^-1
7.967112500×10^-2,-1.037039161×10^-1,-4.143103659×10^-1,-8.453622460×10^-1
8.962112501×10^-2,-5.158872902×10^-2,-3.996949792×10^-1,-9.983104467×10^-1
9.957112500×10^-2,4.527895898×10^-2,-2.914361358×10^-1,-1.179066777×10^0
1.095211250×10^-1,2.076076269×10^-1,-6.475549191×10^-2,-1.346691966×10^0
1.194711250×10^-1,4.389031827×10^-1,1.981602907×10^-1,-1.516700983×10^0
1.294211250×10^-1,6.866030097×10^-1,4.044397771×10^-1,-1.703466296×10^0
1.393711250×10^-1,8.763036728×10^-1,5.368511081×10^-1,-1.861367464×10^0
1.493211250×10^-1,9.932414293×10^-1,6.507562995×10^-1,-1.989063382×10^0
1.592711250×10^-1,1.116404653×10^0,7.549543381×10^-1,-2.119389057×10^0
1.692211250×10^-1,1.209585071×10^0,1.073313355×10^0,-2.195714235×10^0
1.791711250×10^-1,1.299501061×10^0,1.364807487×10^0,-2.227428436×10^0
1.891211250×10^-1,1.465883136×10^0,1.483784914×10^0,-2.255016804×10^0
1.990711250×10^-1,1.653671384×10^0,1.588672638×10^0,-2.345777988×10^0
2.090211250×10^-1,1.874844790×10^0,1.466894627×10^0,-2.489189863×10^0
2.189711250×10^-1,2.015360355×10^0,1.294402480×10^0,-2.551046848×10^0
2.289211250×10^-1,2.066472530×10^0,9.836388826×10^-1,-2.501853704×10^0
2.388711250×10^-1,2.027041197×10^0,6.618717909×10^-1,-2.425557852×10^0
2.488211250×10^-1,1.830631137×10^0,4.929867089×10^-1,-2.423251152×10^0
2.587711250×10^-1,1.699438334×10^0,2.839844823×10^-1,-2.387274504×10^0
2.687211250×10^-1,1.667657971×10^0,3.962584957×10^-2,-2.335850477×10^0
2.786711250×10^-1,1.675819039×10^0,-1.209465191×10^-1,-2.256607771×10^0
2.886213750×10^-1,1.683522940×10^0,-2.137558311×10^-1,-2.097269058×10^0
