"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.614041668×10^-3,-4.656816101×10^-1,6.068231049×10^0,7.629484406×10^0
1.856404167×10^-2,-5.337899780×10^-1,6.041436768×10^0,6.996301117×10^0
2.851404167×10^-2,-7.777825928×10^-1,5.970783691×10^0,6.925498352×10^0
3.846404167×10^-2,-8.906478882×10^-1,5.913602600×10^0,7.467521210×10^0
4.841404167×10^-2,-6.483018494×10^-1,5.895639954×10^0,8.083939362×10^0
5.836404167×10^-2,-3.236270142×10^-1,5.812113647×10^0,8.262368317×10^0
6.831404167×10^-2,-2.402503967×10^-1,5.710475006×10^0,8.205037537×10^0
7.826404167×10^-2,-2.707868958×10^-1,5.732329559×10^0,7.917934570×10^0
8.821404167×10^-2,-2.962339783×10^-1,5.845643921×10^0,7.034771118×10^0
9.816404167×10^-2,-4.087998962×10^-1,5.847440186×10^0,5.810616760×10^0
1.081140417×10^-1,-4.376898193×10^-1,5.987548828×10^0,5.014721832×10^0
1.180640417×10^-1,-6.454577637×10^-1,6.070326691×10^0,4.940625916×10^0
1.280140417×10^-1,-6.012995911×10^-1,6.045628052×10^0,5.434598694×10^0
1.379640417×10^-1,-2.381547546×10^-1,6.230044556×10^0,6.311175842×10^0
1.479140417×10^-1,1.440005493×10^-1,6.156846771×10^0,7.161258087×10^0
1.578640417×10^-1,-6.113287354×10^-1,5.525459747×10^0,8.040379944×10^0
1.678140417×10^-1,-1.451980591×10^0,4.926255798×10^0,8.769663391×10^0
1.777640417×10^-1,-1.390757904×10^0,4.494703217×10^0,9.220226440×10^0
1.877140417×10^-1,-6.706054688×10^-1,5.108426971×10^0,9.360784149×10^0
1.976640417×10^-1,-4.575984192×10^-1,5.586981812×10^0,9.607022095×10^0
2.076140417×10^-1,-1.150208130×10^0,5.634433136×10^0,9.870324554×10^0
2.175640417×10^-1,-1.365909576×10^0,5.895490265×10^0,9.941426697×10^0
2.275140417×10^-1,-8.321195984×10^-1,6.314918060×10^0,9.469757538×10^0
2.374650417×10^-1,-1.839674377×10^-1,6.461463318×10^0,8.574469299×10^0
2.474150417×10^-1,5.810916138×10^-1,6.653214569×10^0,7.697892151×10^0
2.573650417×10^-1,1.417851562×10^0,6.894213409×10^0,7.025191040×10^0
2.673150417×10^-1,6.581813049×10^-1,6.600075073×10^0,6.605314178×10^0
2.772650417×10^-1,-2.381547546×10^-1,6.436016235×10^0,6.977290649×10^0
2.872150417×10^-1,2.631527710×10^-1,6.741680603×10^0,8.193511505×10^0
2.971650417×10^-1,1.082399139×10^0,7.057224426×10^0,8.971144409×10^0
3.071150417×10^-1,1.385967865×10^0,7.381749573×10^0,8.753197632×10^0
3.170650417×10^-1,1.300196228×10^0,7.830366669×10^0,7.938292236×10^0
3.270150417×10^-1,1.037342834×10^0,7.743696899×10^0,7.294630737×10^0
3.369650417×10^-1,6.768923950×10^-1,7.309599609×10^0,6.784341888×10^0
3.469150417×10^-1,5.424719238×10^-1,7.347321167×10^0,6.190077667×10^0
3.568650417×10^-1,6.222560120×10^-1,7.749834137×10^0,6.143225098×10^0
3.668150417×10^-1,4.933740234×10^-1,7.809260559×10^0,5.637277222×10^0
3.767650417×10^-1,-9.009764099×10^-1,7.061565399×10^0,4.262236633×10^0
3.867150417×10^-1,-9.270222473×10^-1,6.723717957×10^0,4.222868500×10^0
