"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.445208333E-3,-5.092410278E-1,2.333198090E0,8.984766083E0
1.250620833E-2,-3.823049927E-1,2.311642914E0,8.788075104E0
2.257620833E-2,-2.435435486E-1,2.396366730E0,8.756939850E0
3.258620833E-2,-2.038760376E-1,2.388433228E0,8.884324951E0
4.256520833E-2,-1.969903564E-1,2.374362488E0,9.007219391E0
5.254520833E-2,-2.597099304E-1,2.474204865E0,9.107061768E0
6.252420833E-2,-3.817062378E-1,2.494263153E0,9.190737762E0
7.250320833E-2,-4.221221924E-1,2.477048950E0,9.232051849E0
8.248220833E-2,-3.023712158E-1,2.438129883E0,9.124575348E0
9.243120833E-2,-2.083666992E-1,2.314936066E0,9.003626862E0
1.024102083E-1,-1.350192261E-1,2.395618286E0,8.868008881E0
1.123902083E-1,7.514373779E-2,2.672841797E0,8.762628021E0
1.223692083E-1,2.188449097E-1,2.987786865E0,8.745114441E0
1.323482083E-1,1.176553345E-1,3.171604614E0,8.828790436E0
1.423272083E-1,-1.724414062E-1,3.291954346E0,8.864865417E0
1.523072083E-1,-3.483256531E-1,3.357368317E0,9.040899353E0
1.622552083E-1,-5.559439087E-1,3.159479828E0,9.278006287E0
1.722352083E-1,-6.837780762E-1,2.941832428E0,9.409133606E0
1.822142083E-1,-8.017327881E-1,2.954705658E0,9.377698975E0
1.921932083E-1,-8.364605713E-1,3.223097534E0,9.144334259E0
2.021722083E-1,-8.186476135E-1,3.394341431E0,8.858279114E0
2.121522083E-1,-9.551637268E-1,3.422632599E0,8.793014832E0
2.221002083E-1,-1.130000153E0,3.531306610E0,9.024433594E0
2.320802083E-1,-1.296454010E0,3.581602020E0,9.370214539E0
2.420592083E-1,-1.485959930E0,3.395988007E0,9.561666412E0
2.520382083E-1,-1.692829742E0,3.005599823E0,9.427994385E0
2.620172083E-1,-1.425934753E0,2.552192688E0,8.652008057E0
2.719972083E-1,-7.083270264E-1,2.402054901E0,8.821156311E0
2.819762083E-1,-6.496490479E-1,2.678679657E0,9.154064026E0
2.919252083E-1,-9.117539978E-1,2.810854797E0,9.119785309E0
3.019042083E-1,-1.183738403E0,3.034040680E0,9.323661346E0
3.118832083E-1,-1.431024170E0,3.482957153E0,9.752669220E0
3.218622083E-1,-1.613345032E0,3.856131134E0,1.023331970E1
