"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.883041667×10^-3,4.587791264×10^-1,-2.685770988×10^-1,-3.545602858×10^-1
1.483304167×10^-2,3.429241180×10^-1,-3.829812109×10^-1,-3.672528863×10^-1
2.478304167×10^-2,2.065615058×10^-1,-5.489153266×10^-1,-3.567869365×10^-1
3.473304167×10^-2,1.262966841×10^-1,-6.965191364×10^-1,-3.423223794×10^-1
4.468304167×10^-2,9.842004627×10^-2,-7.852221131×10^-1,-3.549297750×10^-1
5.463304167×10^-2,8.912114054×10^-2,-8.226230145×10^-1,-3.941567540×10^-1
6.458304167×10^-2,1.067472696×10^-1,-8.193941712×10^-1,-4.487550259×10^-1
7.453304167×10^-2,1.184822619×10^-1,-7.712594867×10^-1,-5.031411052×10^-1
8.448304167×10^-2,6.337746978×10^-2,-7.413803935×10^-1,-5.346095562×10^-1
9.443304167×10^-2,-7.071202248×10^-2,-7.643983364×10^-1,-5.565182567×10^-1
1.043830417×10^-1,-2.419309020×10^-1,-7.717334628×10^-1,-5.665221214×10^-1
1.143330417×10^-1,-4.163393378×10^-1,-6.551961303×10^-1,-5.530122519×10^-1
1.242830417×10^-1,-5.699560642×10^-1,-4.348253906×10^-1,-5.364796519×10^-1
1.342330417×10^-1,-6.819465160×10^-1,-2.037576288×10^-1,-5.666006207×10^-1
1.441830417×10^-1,-6.414821744×10^-1,-2.966715693×10^-1,-6.650254726×10^-1
1.541330417×10^-1,-4.954686165×10^-1,-4.659876525×10^-1,-6.618564129×10^-1
1.640830417×10^-1,-2.470473349×10^-1,-5.110928416×10^-1,-5.883854032×10^-1
1.740330417×10^-1,8.447463810×10^-2,-4.987412393×10^-1,-5.011700392×10^-1
1.839830417×10^-1,4.507913888×10^-1,-5.079810619×10^-1,-4.960551560×10^-1
1.939330417×10^-1,7.668249607×10^-1,-5.494330525×10^-1,-5.015770197×10^-1
2.038830417×10^-1,9.940564632×10^-1,-7.991834879×10^-1,-4.467561245×10^-1
2.138330417×10^-1,1.169714808×10^0,-1.244600773×10^0,-3.697985709×10^-1
2.237830417×10^-1,1.268686652×10^0,-1.682076931×10^0,-3.358581662×10^-1
2.337330417×10^-1,1.269168019×10^0,-1.940990448×10^0,-3.283666074×10^-1
2.436840417×10^-1,1.188756585×10^0,-1.953760386×10^0,-3.664410114×10^-1
2.536340417×10^-1,1.068446159×10^0,-1.756692052×10^0,-4.493061602×10^-1
2.635840417×10^-1,9.750387073×10^-1,-1.467759252×10^0,-4.210625291×10^-1
2.735340417×10^-1,9.638979435×10^-1,-1.052805424×10^0,-3.335584998×10^-1
2.834840417×10^-1,1.147257447×10^0,-6.358124018×10^-1,-3.078997433×10^-1
2.934340417×10^-1,1.428055882×10^0,-3.332296908×10^-1,-3.707084656×10^-1
3.033840417×10^-1,1.611818790×10^0,-2.243916243×10^-1,-4.400925934×10^-1
3.133340417×10^-1,1.578904510×10^0,-3.079263568×10^-1,-4.557263255×10^-1
3.232840417×10^-1,1.421763301×10^0,-6.984217167×10^-1,-4.070679545×10^-1
3.332340417×10^-1,1.216068745×10^0,-1.264108777×10^0,-3.430562913×10^-1
3.431840417×10^-1,1.027849555×10^0,-1.673432589×10^0,-2.881112993×10^-1
3.531340417×10^-1,9.456337094×10^-1,-1.678854465×10^0,-2.401913106×10^-1
3.630840417×10^-1,8.834470510×10^-1,-1.246454358×10^0,-2.066232264×10^-1
3.730340417×10^-1,8.238561749×10^-1,-9.108070731×10^-1,-1.239677519×10^-1
3.829840417×10^-1,8.067759871×10^-1,-8.948296905×10^-1,-8.710055053×10^-2
3.929340417×10^-1,7.573798299×10^-1,-9.126330018×10^-1,-1.565773636×10^-1
4.028840417×10^-1,5.921937823×10^-1,-9.325816631×10^-1,-2.675941586×10^-1
4.128340417×10^-1,3.686122000×10^-1,-8.947815299×10^-1,-3.368917406×10^-1
