"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.612582083E-1,2.114695758E-1,1.211657077E-1,-1.148755789E0
1.712382083E-1,1.814070195E-1,-1.477267444E-1,-1.143900037E0
1.812172083E-1,1.446571648E-1,-4.472684264E-1,-1.125059009E0
1.911962083E-1,9.110260010E-2,-6.762267947E-1,-1.100360274E0
2.011752083E-1,-1.794515178E-2,-8.168989420E-1,-1.101247668E0
2.111552083E-1,-1.477516294E-1,-8.841232657E-1,-1.114926219E0
2.211032083E-1,-2.169015706E-1,-8.472933173E-1,-1.106177688E0
2.310832083E-1,-2.194731086E-1,-7.166569829E-1,-1.051563501E0
2.410622083E-1,-1.574684978E-1,-5.335330367E-1,-9.487974048E-1
2.510412083E-1,-4.993485659E-2,-3.024534583E-1,-7.997384667E-1
2.610202083E-1,6.378982961E-2,4.638252780E-2,-6.207526922E-1
2.710002083E-1,1.789651513E-1,3.734951615E-1,-4.975980222E-1
2.809792083E-1,3.054570556E-1,3.725098670E-1,-4.970624447E-1
2.909282083E-1,3.558089137E-1,3.567985594E-1,-5.696617961E-1
3.009072083E-1,4.253512323E-1,5.091565847E-1,-5.944686532E-1
3.108862083E-1,4.910077453E-1,6.385867000E-1,-5.585897565E-1
3.208652083E-1,4.998922944E-1,5.712037086E-1,-5.197731256E-1
3.308452083E-1,4.423416555E-1,2.885200381E-1,-4.960714877E-1
3.408242083E-1,3.229288757E-1,-1.564651430E-1,-4.993327856E-1
3.507732083E-1,1.786390841E-1,-6.010580659E-1,-5.195776224E-1
3.607522083E-1,6.690005213E-2,-8.596791029E-1,-5.068807602E-1
3.707312083E-1,4.268871993E-2,-8.488067389E-1,-4.516057670E-1
3.807102083E-1,1.243987456E-1,-6.101352572E-1,-3.520937860E-1
3.906902083E-1,2.665199339E-1,-2.606081963E-1,-2.315708399E-1
4.006692083E-1,3.602936566E-1,5.421460420E-2,-1.325718313E-1
4.106482083E-1,4.043923914E-1,3.053762615E-1,-7.797116786E-2
4.205972083E-1,3.689573705E-1,4.732135534E-1,-9.205524623E-2
4.305762083E-1,2.703245282E-1,5.610401034E-1,-1.500839293E-1
4.405552083E-1,2.130770385E-1,6.228390336E-1,-1.804399937E-1
4.505352083E-1,2.128631920E-1,7.467814684E-1,-2.113579661E-1
4.605142083E-1,2.067457139E-1,8.978339434E-1,-2.680105567E-1
4.704932083E-1,1.611116379E-1,9.603103399E-1,-3.647706509E-1
4.804422083E-1,1.517496556E-1,7.662342787E-1,-3.808932006E-1
4.904212083E-1,9.246183932E-2,3.762358725E-1,-2.958528697E-1
5.004002083E-1,-6.223994493E-2,-1.662018709E-3,-2.272490263E-1
5.103802083E-1,-2.408847958E-1,-2.501589358E-1,-2.257448733E-1
5.203592083E-1,-3.624718487E-1,-3.523156345E-1,-2.727997303E-1
5.303382083E-1,-3.525577188E-1,-3.067231178E-1,-3.021190166E-1
5.403172083E-1,-2.541525662E-1,-1.183253676E-1,-3.072961867E-1
5.502662083E-1,-1.927911937E-1,9.434376657E-2,-3.357970715E-1
5.602452083E-1,-1.991839409E-1,2.439842522E-1,-4.014786184E-1
5.702242083E-1,-2.205784470E-1,2.930772305E-1,-4.668879807E-1
5.802042083E-1,-2.300074697E-1,2.641235888E-1,-5.135172606E-1
